SystemID,systemname,districtwebsite,phone_number,street,city,state,zip_code,Grade,SingleScore,PPE,Four_Year_Graduation_Rate,enroll_percent_asian,enroll_percent_native,enroll_percent_black,enroll_percent_hispanic,enroll_percent_multiracial,enroll_percent_white,enroll_percent_ed,enroll_percent_swd,enroll_percent_lep,total_enroll,CollegeEnrollment,Mobility,_merge
653,Emanuel County,http://www.emanuel.k12.ga.us/,(478)237-6674,201 North Main Street,Swainsboro,GA,30401,,,,84.2,1,0,41,8,3,47,88,14.60000038,4,4181,,7.9,master only (1)
654,Evans County,http://www.evans.k12.ga.us/,(912)739-3544,613 West Main Street,Claxton,GA,30417,,,,82.3,1,0,34,26,4,36,97,13.19999981,17,1933,,13.2,master only (1)
655,Fannin County,http://www.fannin.k12.ga.us/,(706)632-3771,2290 East First Street,Blue Ridge,GA,30513,,,,95.2,1,0,1,6,1,92,57,14.39999962,3,2919,,10.7,master only (1)
656,Fayette County,http://www.fcboe.org/,(770)460-3990,205 LaFayette Avenue,Fayetteville,GA,30214,,,,91.3,7,0,29,13,5,46,25,10.10000038,7,20538,,8.6,master only (1)
657,Floyd County,http://www.floydboe.net/,(706)234-1031,600 Riverside Parkway NE,Rome,GA,30161,,,,94.6,1,0,7,11,4,77,54,14.60000038,6,9539,,10.7,master only (1)
658,Forsyth County,http://www.forsyth.k12.ga.us/site/default.aspx?PageID=1,(770)887-2461,1120 Dahlonega Highway,Cumming,GA,30040,,,,96.1,23,0,4,14,3,55,15,12.30000019,10,50544,,7.1,master only (1)
659,Franklin County,http://www.franklin.k12.ga.us/,(706)384-4554,280 Busha Road,Carnesville,GA,30521,,,,91.6,1,0,10,9,5,75,54,14.19999981,6,3604,,11.9,master only (1)
660,Fulton County,http://www.fultonschools.org/en,(470)254-3600,6201 Powers Ferry Road,Atlanta,GA,30339,,,,85.5,12,0,42,16,3,27,44,10.39999962,11,93897,,15.3,master only (1)
661,Gilmer County,http://www.gilmerschools.com/,(706)276-5000,134 Industrial Blvd.,Ellijay,GA,30540,,,,90.3,0,0,0,30,1,68,64,9.800000191,21,4189,,10.4,master only (1)
662,Glascock County,http://gccs-charters-ca.schoolloop.com/,(706)598-2121,1230 Panther Way,Gibson,GA,30810,,,,92.1,0,0,7,2,3,89,61,12.60000038,0,557,,10.3,master only (1)
663,Glynn County,http://flashmedia.glynn.k12.ga.us/,(912)267-4100,1313 Egmont St,Brunswick,GA,31520,,,,93.5,2,0,34,14,4,46,58,14.39999962,9,13287,,15.1,master only (1)
664,Gordon County,http://www.gcbe.org/,(706)629-7366,205 Warrior Path,Calhoun,GA,30701,,,,93.5,1,0,2,18,3,77,61,11.30000019,9,6612,,12.3,master only (1)
665,Grady County,http://www.grady.k12.ga.us/,(229)377-3701,122 North Broad Street,Cairo,GA,39828,,,,89.8,0,0,32,25,3,40,100,10.80000019,17,4676,,10.1,master only (1)
666,Greene County,http://www.greene.k12.ga.us/,(706)453-7688,101 East Third Street,Greensboro,GA,30642,,,,89.4,1,0,44,15,4,36,66,12.19999981,9,2650,,6.5,master only (1)
667,Gwinnett County,http://publish.gwinnett.k12.ga.us/gcps/home/public,(678)301-6000,437 Old Peachtree Road  NW,Suwanee,GA,30024,,,,83.2,11,0,32,32,4,21,52,12.69999981,23,180589,,14.9,master only (1)
668,Habersham County,http://www.habershamschools.com/,(706)754-2110,132 West Stanford Mill Rd,Clarkesville,GA,30523,,,,95.1,2,0,2,31,3,61,59,16.10000038,19,7006,,12.1,master only (1)
669,Hall County,http://www.hallco.org/web,(770)534-1080,711 Green St. Suite 100,Gainesville,GA,30505,,,,88.9,1,0,5,45,2,47,56,13.89999962,27,27135,,12,master only (1)
670,Hancock County,https://www.hancock.k12.ga.us/,(706)444-5775,11311 Highway 15 North,Sparta,GA,31087,,,,86.9,1,0,96,1,1,1,100,13.30000019,1,783,,13.8,master only (1)
671,Haralson County,http://www.haralson.k12.ga.us/,(770)574-2500,299 Robertson Ave.,Tallapoosa,GA,30176,,,,97.6,0,0,2,2,4,91,71,17.5,1,3345,,13.8,master only (1)
672,Harris County,https://www.harris.k12.ga.us/,(706)628-4206,132 Barnes Mill Rd,Hamilton,GA,31811,,,,89.2,1,0,15,6,5,73,35,11,1,5552,,8.1,master only (1)
673,Hart County,http://www.hart.k12.ga.us/,(706)376-5141,284 Campbell Drive,Hartwell,GA,30643,,,,95.2,2,0,23,8,5,63,59,14.89999962,4,3559,,8,master only (1)
674,Heard County,http://www.heard.k12.ga.us/,(706)675-3320,131 East Court Square,Franklin,GA,30217,,,,88.2,0,0,7,3,6,84,59,13,1,2111,,10.4,master only (1)
675,Henry County,http://schoolwires.henry.k12.ga.us/site/default.aspx?PageID=1,(770)957-6601,33 N. Zack Hinton Parkway,McDonough,GA,30253,,,,88.8,3,0,56,11,5,26,49,13.30000019,3,43009,,17.6,master only (1)
676,Houston County,http://www.hcbe.net/,(478)988-6200,1100 Main Street,Perry,GA,31069,,,,89.6,3,0,39,10,6,42,54,13.19999981,5,30221,,15.5,master only (1)
677,Irwin County,http://www.irwin.k12.ga.us/,(229)468-7485,210 Apple St.,Ocilla,GA,31774,,,,93.7,0,0,33,6,3,58,80,15.69999981,1,1695,,9.9,master only (1)
678,Jackson County,https://www.jackson.k12.ga.us/,(706)367-5151,1660 Winder Highway,Jefferson,GA,30549,,,,93.5,3,0,6,15,4,72,46,15.19999981,8,8305,,10.4,master only (1)
679,Jasper County,http://www.jasper.k12.ga.us/,(706)468-6350,1411 College Street ,Monticello,GA,31064,,,,94.6,0,0,21,8,5,66,63,11.19999981,4,2412,,11,master only (1)
680,Jeff Davis County,https://www.jeff-davis.k12.ga.us/,(912)375-6700,44 Charles Rogers Blvd,Hazlehurst,GA,31539,,,,93,1,0,14,23,3,59,76,12,14,3084,,10.6,master only (1)
681,Jefferson County,http://www.jefferson.k12.ga.us/site/default.aspx?PageID=1,(478)625-7626,1001 Peachtree Street,Louisville,GA,30434,,,,90.4,0,0,68,7,2,22,100,14.5,2,2382,,11.4,master only (1)
682,Jenkins County,http://www.jenkins.k12.ga.us/,(478)982-6000,1152 East Winthrope Avenue,Millen,GA,30442,,,,79.5,0,0,52,8,3,37,100,10.19999981,4,1133,,9.2,master only (1)
683,Johnson County,http://www.johnson.k12.ga.us/system/index.htm,(478)864-3302,150 S. Lee Street,Wrightsville,GA,31096,,,,90.3,0,0,40,4,3,53,94,12.80000019,0,1096,,11.2,master only (1)
684,Jones County,https://www.jonescntysd.ga.schools.bz/,(478)986-3032,125 Stewart Avenue,Gray,GA,31032,,,,88.3,0,0,25,2,4,69,49,14.69999981,1,5291,,9,master only (1)
685,Lamar County,http://www.lamar.k12.ga.us/,(770)358-5891,100 Victory Lane,Barnesville,GA,30204,,,,88.5,1,0,31,3,5,60,67,12.19999981,1,2687,,11.3,master only (1)
686,Lanier County,http://www.lanier.k12.ga.us/,(229)482-3966,247 Hwy 221 South,Lakeland,GA,31635,,,,92.1,1,0,27,7,4,61,86,13.5,2,1710,,15.3,master only (1)
687,Laurens County,http://www.lcboe.net/,(478)272-4767,467 Firetower Road,Dublin,GA,31021,,,,90.2,1,0,29,4,2,63,85,10.39999962,2,6598,,8.6,master only (1)
688,Lee County,http://www.lee.k12.ga.us/,(229)903-2100,126 Starksville Ave. North,Leesburg,GA,31763,,,,91.7,3,0,23,4,4,66,46,9.600000381,3,6632,,7.5,master only (1)
689,Liberty County,http://www.liberty.k12.ga.us/,(912)876-2161,200 Bradwell,Hinesville,GA,31313,,,,93.7,2,0,52,13,9,23,69,13,2,10092,,21.6,master only (1)
690,Lincoln County,http://www.lincolncountyschools.org/,(706)359-3742,423 Metasville Road,Lincolnton,GA,30817,,,,94.4,0,0,38,1,3,57,67,12.30000019,0,1117,,7,master only (1)
691,Long County,http://www.longcountyps.com/,(912)545-2367,468 McDonald Street / P.O. Box 428,Ludowici,GA,31316,,,,88.4,1,0,27,16,10,46,75,13.10000038,6,3876,,17.3,master only (1)
692,Lowndes County,http://www.lowndes.k12.ga.us/,(229)245-2250,1592 Norman Drive,Valdosta,GA,31601,,,,94.1,1,0,23,11,5,59,51,13.80000019,4,10848,,13.1,master only (1)
693,Lumpkin County,https://www.lumpkinschools.com/,(706)864-3611,56 Indian Drive,Dahlonega,GA,30533,,,,96.7,0,0,1,8,3,87,46,15.80000019,3,3854,,10.7,master only (1)
694,Macon County,http://www.macon.k12.ga.us/,(478)472-8188,31 Buck Creek Bypass Road,Oglethorpe,GA,31068,,,,77.4,1,0,78,13,2,6,100,9.399999619,7,1190,,11.8,master only (1)
695,Madison County,http://www.madison.k12.ga.us/,(706)795-2191,800 Madison Street / PO Box 37,Danielsville,GA,30633,,,,95.1,2,0,10,11,5,71,57,17.79999924,7,4996,,11.4,master only (1)
696,Marion County,http://www.marion.k12.ga.us/,(229)649-2234,1697 Pineville Road,Buena Vista,GA,31803,,,,91.5,1,0,32,13,2,52,92,12.19999981,5,1367,,9.3,master only (1)
697,McDuffie County,http://www.mcduffie.k12.ga.us/,(706)986-4000,716 N. Lee Street,Thomson,GA,30824,,,,81.9,0,0,57,5,4,33,85,15.80000019,2,3635,,8.9,master only (1)
698,McIntosh County,http://www.mcintosh.k12.ga.us/,(912)437-6645,1100B C.A. DeVillars Road,Darien,GA,31305,,,,97.7,0,0,42,2,6,49,85,16.10000038,0,1328,,14.9,master only (1)
699,Meriwether County,http://www.mcssga.org/,(706)441-0601,2100 Gaston Street,Greenville,GA,30222,,,,79.2,1,0,58,4,5,33,92,19.39999962,1,2480,,15.8,master only (1)
700,Miller County,http://www.miller.k12.ga.us/,(229)758-5592,96 Perry Street,Colquitt,GA,39837,,,,81.4,1,0,40,3,2,54,100,15.39999962,1,868,,11.2,master only (1)
701,Mitchell County,http://www.mitchell.k12.ga.us/,(229)336-2156,108 South Harney Street,Camilla,GA,31730,,,,79.3,0,0,83,9,2,6,100,10.19999981,4,1332,,29.7,master only (1)
702,Monroe County,http://www.monroe.k12.ga.us/,(478)994-2031,25 Brooklyn Avenue,Forsyth,GA,31029,,,,92.1,1,0,24,3,3,69,54,15.30000019,1,4152,,8.3,master only (1)
703,Montgomery County,http://www.montgomery.k12.ga.us/,(912)583-2301,703 Dobbins Street,Mount Vernon,GA,30445,,,,84.5,1,0,31,16,4,48,95,12.10000038,4,882,,13.7,master only (1)
704,Morgan County,http://www.morgan.k12.ga.us/site/default.aspx,(706)752-4600,1065 East Avenue,Madison,GA,30650,,,,92,1,0,24,7,4,64,44,12.30000019,3,3196,,8.4,master only (1)
705,Murray County,http://www.murray.k12.ga.us/,(706)695-4531,1006 Green Road,Chatsworth,GA,30705,,,,95.9,0,0,0,25,1,73,74,11.10000038,14,7216,,13.6,master only (1)
706,Muscogee County,https://www.muscogee.k12.ga.us,(706)748-2000,2960 Macon Road,Columbus,GA,31906,,,,89.4,3,0,58,10,5,24,75,15.5,5,31733,,19.2,master only (1)
707,Newton County,http://www.newtoncountyschools.org/,(770)787-1330,2109 Newton Drive NE,Covington,GA,30014,,,,89.8,1,0,57,9,4,28,67,13.10000038,5,19579,,16.5,master only (1)
708,Oconee County,https://www.oconeeschools.org/,(706)769-5130,34 School Street,Watkinsville,GA,30677,,,,97.5,6,0,4,7,4,79,15,11.5,4,8140,,4.9,master only (1)
709,Oglethorpe County,http://www.oglethorpe.k12.ga.us/,(706)743-8128,735 Athens Road,Lexington,GA,30648,,,,96.4,2,0,18,11,5,64,64,12.69999981,7,2131,,7.7,master only (1)
710,Paulding County,http://www.paulding.k12.ga.us/,(770)443-8000,3236 Atlanta Highway,Dallas,GA,30132,,,,90.8,1,0,26,10,5,57,41,14.10000038,4,30496,,11.4,master only (1)
711,Peach County,http://www.peachschools.org/,(478)825-5933,1088 Tulip Drive,Fort Valley,GA,31030,,,,87.6,1,0,51,15,4,30,75,11.69999981,8,3693,,15.6,master only (1)
712,Pickens County,http://www.pickens.k12.ga.us/,(706)253-1700,100 D. B. Carroll St.,Jasper,GA,30143,,,,94,0,0,1,6,2,90,51,16.20000076,2,4333,,10.1,master only (1)
713,Pierce County,http://www.pierce.k12.ga.us/,(912)449-2044,834 East Main Street,Blackshear,GA,31516,,,,85.9,1,0,8,9,3,78,59,11.89999962,4,3610,,10.9,master only (1)
714,Pike County,http://www.pike.k12.ga.us/,(770)567-8489,16 Jackson Street,Zebulon,GA,30295,,,,95.4,0,0,7,2,2,88,33,9.199999809,1,3370,,7.9,master only (1)
715,Polk County,http://www.polk.k12.ga.us/,(770)748-3821,612 South College Street,Cedartown,GA,30125,,,,86.8,1,0,15,23,6,56,86,13.60000038,10,8054,,13.3,master only (1)
716,Pulaski County,http://www.pulaski.k12.ga.us/,(478)783-7200,72 Warren Street,Hawkinsville,GA,31036,,,,91,1,1,40,7,4,48,91,13.80000019,4,1348,,9,master only (1)
717,Putnam County,http://putnam.k12.ga.us/,(706)485-5381,158 Old Glenwood Springs Road,Eatonton,GA,31024,,,,90.3,1,0,35,16,4,44,98,15.19999981,10,3006,,8.7,master only (1)
718,Quitman County,http://www.quitman.k12.ga.us/,(229)334-4189,215 Kaigler Road ,Georgetown,GA,39854,,,,73.1,0,1,74,0,2,22,100,21.60000038,0,300,,13.1,master only (1)
719,Rabun County,https://www.rabuncountyschools.org/,(706)212-4350,963 Tiger Connector Road,Tiger,GA,30576,,,,92.9,0,0,0,18,2,79,59,13.89999962,8,2293,,9.7,master only (1)
720,Randolph County,http://www.sowegak12.org/,(229)732-3601,98 School Drive,Cuthbert,GA,39840,,,,78.6,0,0,95,1,2,2,100,13.80000019,0,819,,15.6,master only (1)
721,Richmond County,http://www.rcboe.org/,(706)826-1000,864 Broad Street,Augusta,GA,30901,,,,77.2,1,0,74,5,3,16,93,12.5,2,30666,,23.8,master only (1)
722,Rockdale County,https://www.rockdaleschools.org/,(770)483-4713,954 North Main Street,Conyers,GA,30012,,,,84.6,2,0,68,16,4,10,70,12.10000038,7,16565,,17.2,master only (1)
723,Schley County,http://www.schleyk12.org/,(229)937-2405,401 Perry Drive,Ellaville,GA,31806,,,,92.5,1,0,17,6,3,72,53,11.10000038,0,1291,,3.9,master only (1)
724,Screven County,http://www.screven.k12.ga.us/,(912)451-2000,382 Halcyondale Road,Sylvania,GA,30467,,,,86.6,1,0,46,3,3,47,80,16.79999924,1,2285,,14.4,master only (1)
725,Seminole County,http://www.seminole.k12.ga.us/,(229)524-2433,203 E. 6th Street,Donalsonville,GA,39845,,,,92.5,1,0,43,3,4,49,100,7.800000191,1,1350,,11.7,master only (1)
726,Spalding County,http://www.spalding.k12.ga.us/,(770)229-3700,216 6th Street ,Griffin,GA,30224,,,,90.2,1,0,48,9,5,37,74,12.39999962,5,10207,,19.9,master only (1)
727,Stephens County,http://www.stephens.k12.ga.us/,(706)886-9415,191 Big A School Road,Toccoa,GA,30577,,,,93.9,1,0,12,5,8,73,65,15.30000019,2,3984,,9.7,master only (1)
728,Stewart County,http://www.stewart.k12.ga.us/,(229)838-4329,7168 Green Grove,Lumpkin,GA,31815,,,,92.6,0,0,93,0,1,5,100,14.39999962,0,430,,9,master only (1)
729,Sumter County,http://www.sumterschools.org/,(229)931-8500,100 Learning Lane,Americus,GA,31719,,,,92.5,1,0,70,12,2,14,99,13.10000038,8,4416,,12,master only (1)
730,Talbot County,http://www.talbot.k12.ga.us/,(706)665-8528,945 N. Washington Ave,Talbotton,GA,31827,,,,80,0,0,89,0,0,10,100,15.39999962,0,463,,10.3,master only (1)
731,Taliaferro County,http://www.taliaferro.k12.ga.us/pages/Taliaferro_County_SD,(706)456-2546,557 Broad Street,Crawfordville,GA,30631,,,,,0,0,75,13,1,10,98,17.70000076,0,172,,12.8,master only (1)
732,Tattnall County,http://www.tattnallschools.org/,(912)557-4726,146 W. Brazell Street,Reidsville,GA,30453,,,,89.2,1,0,25,19,4,51,90,13.89999962,9,3783,,12.5,master only (1)
733,Taylor County,https://www.taylorcountyschools.org/,(478)862-5224,23 Mulberry St,Butler,GA,31006,,,,86.2,1,0,40,3,3,54,87,12.89999962,0,1395,,19,master only (1)
734,Telfair County,http://www.telfairschools.org/site/default.aspx?PageID=1,(229)868-5661,212 West Huckabee Street,McRae,GA,31055,,,,89.3,0,0,40,7,4,48,96,11.39999962,3,1694,,13.8,master only (1)
735,Terrell County,http://terrell.schooldesk.net/,(229)995-4425,761 1st Avenue SE,Dawson,GA,39842,,,,88.5,0,0,92,2,1,5,100,12.89999962,1,1218,,12.5,master only (1)
736,Thomas County,http://www.thomas.k12.ga.us/,(229)225-4380,200 N. Pinetree Boulevard,Thomasville,GA,31792,,,,92.6,1,0,35,7,3,53,88,17.20000076,3,5832,,13,master only (1)
737,Tift County,http://www.tiftschools.com/,(229)387-2400,207 North Ridge Ave,Tifton,GA,31794,,,,86,1,0,35,19,2,42,100,10.19999981,11,7891,,10.1,master only (1)
738,Toombs County,http://www.toombscountyschools.org/,(912)526-3141,117 E. Wesley Avenue,Lyons,GA,30436,,,,95,0,0,18,25,5,51,100,14.89999962,13,2992,,11.7,master only (1)
739,Towns County,http://www.towns.k12.ga.us/,(706)896-2279,67 Lakeview Circle,Hiawassee,GA,30546,,,,95,2,0,1,6,2,89,62,12.80000019,2,935,,10.1,master only (1)
740,Treutlen County,http://www.treutlen.k12.ga.us/,(912)529-7101,5040 South Third Street,Soperton,GA,30457,,,,80,0,0,39,3,4,54,100,14.39999962,1,1112,,8.8,master only (1)
741,Troup County,http://www.troup.org/,(706)812-7900,100 North Davis Road,LaGrange,GA,30241,,,,85.9,2,0,43,7,4,43,68,10.30000019,5,12127,,14,master only (1)
