"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","INEXPERIENCED_FTE","INEXPERIENCED_FTE_PCT"
"2017-18","Atlanta Public Schools","King Middle School","Leaders","High Poverty",4,0,0
"2017-18","Atlanta Public Schools","King Middle School","Teachers","High Poverty",54.2,27.1,50
"2017-18","Atlanta Public Schools","King Middle School","Teachers","Total",54.2,27.1,50
"2017-18","Atlanta Public Schools","Kipp Strive Academy","Leaders","Not Applicable",3,2,67
"2017-18","Atlanta Public Schools","Kipp Strive Academy","Teachers","Total",31,21,68
"2017-18","Atlanta Public Schools","Kipp WAYS Primary School","Leaders","High Poverty",4,3,75
"2017-18","Atlanta Public Schools","Kipp WAYS Primary School","Teachers","High Poverty",36,34,94
"2017-18","Atlanta Public Schools","Kipp WAYS Primary School","Teachers","Total",36,34,94
"2017-18","Atlanta Public Schools","Lin Elementary School","Leaders","Low Poverty",2,1,50
"2017-18","Atlanta Public Schools","Lin Elementary School","Teachers","Low Poverty",43.2,10.3,24
"2017-18","Atlanta Public Schools","Lin Elementary School","Teachers","Total",43.2,10.3,24
"2017-18","Atlanta Public Schools","Long Middle School","Leaders","High Poverty",4,2,50
"2017-18","Atlanta Public Schools","Long Middle School","Teachers","High Poverty",49.8,18,36
"2017-18","Atlanta Public Schools","Long Middle School","Teachers","Total",49.8,18,36
"2017-18","Atlanta Public Schools","M. A. Jones Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","M. A. Jones Elementary School","Teachers","High Poverty",40.7,16.7,41
"2017-18","Atlanta Public Schools","M. A. Jones Elementary School","Teachers","Total",40.7,16.7,41
"2017-18","Atlanta Public Schools","Maynard H. Jackson, Jr. High School","Leaders","High Poverty",6,1.5,25
"2017-18","Atlanta Public Schools","Maynard H. Jackson, Jr. High School","Teachers","High Poverty",118.3,73.3,62
"2017-18","Atlanta Public Schools","Maynard H. Jackson, Jr. High School","Teachers","Total",118.3,73.3,62
"2017-18","Atlanta Public Schools","Mays High School","Leaders","High Poverty",8,3,38
"2017-18","Atlanta Public Schools","Mays High School","Teachers","High Poverty",144.3,82.1,57
"2017-18","Atlanta Public Schools","Mays High School","Teachers","Total",144.3,82.1,57
"2017-18","Atlanta Public Schools","Michael R. Hollis Innovation Academy","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Michael R. Hollis Innovation Academy","Teachers","High Poverty",56.9,34.2,60
"2017-18","Atlanta Public Schools","Michael R. Hollis Innovation Academy","Teachers","Total",56.9,34.2,60
"2017-18","Atlanta Public Schools","Miles Intermediate School","Leaders","High Poverty",3,2,67
"2017-18","Atlanta Public Schools","Miles Intermediate School","Teachers","High Poverty",50.7,36.7,72
"2017-18","Atlanta Public Schools","Miles Intermediate School","Teachers","Total",50.7,36.7,72
"2017-18","Atlanta Public Schools","Morningside Elementary School","Leaders","Low Poverty",3,3,100
"2017-18","Atlanta Public Schools","Morningside Elementary School","Teachers","Low Poverty",58.5,18.5,32
"2017-18","Atlanta Public Schools","Morningside Elementary School","Teachers","Total",58.5,18.5,32
"2017-18","Atlanta Public Schools","North Atlanta High School","Leaders","Low Poverty",6,1,17
"2017-18","Atlanta Public Schools","North Atlanta High School","Teachers","Low Poverty",159.2,94.1,59
"2017-18","Atlanta Public Schools","North Atlanta High School","Teachers","Total",159.2,94.1,59
"2017-18","Atlanta Public Schools","Parkside Elementary School","Leaders","High Poverty",3,1,33
"2017-18","Atlanta Public Schools","Parkside Elementary School","Teachers","High Poverty",51.6,25,48
"2017-18","Atlanta Public Schools","Parkside Elementary School","Teachers","Total",51.6,25,48
"2017-18","Atlanta Public Schools","Perkerson Elementary School","Leaders","High Poverty",2,2,100
"2017-18","Atlanta Public Schools","Perkerson Elementary School","Teachers","High Poverty",39.3,25,64
"2017-18","Atlanta Public Schools","Perkerson Elementary School","Teachers","Total",39.3,25,64
"2017-18","Atlanta Public Schools","Peyton Forest Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Peyton Forest Elementary School","Teachers","High Poverty",39.6,24,61
"2017-18","Atlanta Public Schools","Peyton Forest Elementary School","Teachers","Total",39.6,24,61
"2017-18","Atlanta Public Schools","Price Middle School","Leaders","High Poverty",2,2,100
"2017-18","Atlanta Public Schools","Price Middle School","Teachers","High Poverty",38,33,87
"2017-18","Atlanta Public Schools","Price Middle School","Teachers","Total",38,33,87
"2017-18","Atlanta Public Schools","Rivers Elementary School","Leaders","Low Poverty",2,1,50
"2017-18","Atlanta Public Schools","Rivers Elementary School","Teachers","Low Poverty",55,19,35
"2017-18","Atlanta Public Schools","Rivers Elementary School","Teachers","Total",55,19,35
"2017-18","Atlanta Public Schools","School of Technology at Carver","Leaders","High Poverty",0.1,0,0
"2017-18","Atlanta Public Schools","School of Technology at Carver","Teachers","High Poverty",20.2,17.6,87
"2017-18","Atlanta Public Schools","School of Technology at Carver","Teachers","Total",20.2,17.6,87
"2017-18","Atlanta Public Schools","Scott Elementary School","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Scott Elementary School","Teachers","High Poverty",37.7,19.4,51
"2017-18","Atlanta Public Schools","Scott Elementary School","Teachers","Total",37.7,19.4,51
"2017-18","Atlanta Public Schools","Slater Elementary School","Leaders","High Poverty",1,0,0
"2017-18","Atlanta Public Schools","Slater Elementary School","Teachers","High Poverty",44,27,61
"2017-18","Atlanta Public Schools","Slater Elementary School","Teachers","Total",44,27,61
"2017-18","Atlanta Public Schools","Smith Elementary School","Leaders","Low Poverty",3,1,33
"2017-18","Atlanta Public Schools","Smith Elementary School","Teachers","Low Poverty",65.3,20.3,31
"2017-18","Atlanta Public Schools","Smith Elementary School","Teachers","Total",65.3,20.3,31
"2017-18","Atlanta Public Schools","South Atlanta High School","Leaders","High Poverty",4,1,25
"2017-18","Atlanta Public Schools","South Atlanta High School","Teachers","High Poverty",93.8,52.3,56
"2017-18","Atlanta Public Schools","South Atlanta High School","Teachers","Total",93.8,52.3,56
"2017-18","Atlanta Public Schools","Springdale Park Elementary School","Leaders","Low Poverty",2,2,100
"2017-18","Atlanta Public Schools","Springdale Park Elementary School","Teachers","Low Poverty",47.2,18.3,39
"2017-18","Atlanta Public Schools","Springdale Park Elementary School","Teachers","Total",47.2,18.3,39
"2017-18","Atlanta Public Schools","Sutton Middle School","Leaders","Low Poverty",5,3,60
"2017-18","Atlanta Public Schools","Sutton Middle School","Teachers","Low Poverty",102,43,42
"2017-18","Atlanta Public Schools","Sutton Middle School","Teachers","Total",102,43,42
"2017-18","Atlanta Public Schools","Sylvan Hills Middle School","Leaders","High Poverty",4,2,50
"2017-18","Atlanta Public Schools","Sylvan Hills Middle School","Teachers","High Poverty",47.2,32,68
"2017-18","Atlanta Public Schools","Sylvan Hills Middle School","Teachers","Total",47.2,32,68
"2017-18","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools","Teachers","High Poverty",33.7,11.5,34
"2017-18","Atlanta Public Schools","The John Hope-Charles Walter Hill Elementary Schools","Teachers","Total",33.7,11.5,34
"2017-18","Atlanta Public Schools","Therrell High School","Leaders","High Poverty",4,1,25
"2017-18","Atlanta Public Schools","Therrell High School","Teachers","High Poverty",94.5,66,70
"2017-18","Atlanta Public Schools","Therrell High School","Teachers","Total",94.5,66,70
"2017-18","Atlanta Public Schools","Thomasville Heights Elementary School","Leaders","High Poverty",1,1,100
"2017-18","Atlanta Public Schools","Thomasville Heights Elementary School","Teachers","High Poverty",41,26,63
"2017-18","Atlanta Public Schools","Thomasville Heights Elementary School","Teachers","Total",41,26,63
"2017-18","Atlanta Public Schools","Toomer Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Toomer Elementary School","Teachers","High Poverty",48.2,25,52
"2017-18","Atlanta Public Schools","Toomer Elementary School","Teachers","Total",48.2,25,52
"2017-18","Atlanta Public Schools","Towns Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","Towns Elementary School","Teachers","High Poverty",31.4,16.8,54
"2017-18","Atlanta Public Schools","Towns Elementary School","Teachers","Total",31.4,16.8,54
"2017-18","Atlanta Public Schools","Tuskegee Airman Global Academy","Leaders","High Poverty",3,1,33
"2017-18","Atlanta Public Schools","Tuskegee Airman Global Academy","Teachers","High Poverty",47.7,26,55
"2017-18","Atlanta Public Schools","Tuskegee Airman Global Academy","Teachers","Total",47.7,26,55
"2017-18","Atlanta Public Schools","Wesley International Academy Charter Facility","Leaders","Not Applicable",4,3,75
"2017-18","Atlanta Public Schools","Wesley International Academy Charter Facility","Teachers","Total",71,44,62
"2017-18","Atlanta Public Schools","West Manor Elementary School","Leaders","High Poverty",2,0,0
"2017-18","Atlanta Public Schools","West Manor Elementary School","Teachers","High Poverty",24.1,4.5,19
"2017-18","Atlanta Public Schools","West Manor Elementary School","Teachers","Total",24.1,4.5,19
"2017-18","Atlanta Public Schools","Westside Atlanta Charter School","Leaders","Low Poverty",1,1,100
"2017-18","Atlanta Public Schools","Westside Atlanta Charter School","Teachers","Low Poverty",23,16,70
"2017-18","Atlanta Public Schools","Westside Atlanta Charter School","Teachers","Total",23,16,70
"2017-18","Atlanta Public Schools","Woodson Park Academy","Leaders","High Poverty",2,1,50
"2017-18","Atlanta Public Schools","Woodson Park Academy","Teachers","High Poverty",46.8,32.8,70
"2017-18","Atlanta Public Schools","Woodson Park Academy","Teachers","Total",46.8,32.8,70
"2017-18","Atlanta Public Schools","Young Middle School","Leaders","High Poverty",4,3,75
"2017-18","Atlanta Public Schools","Young Middle School","Teachers","High Poverty",61,28,46
"2017-18","Atlanta Public Schools","Young Middle School","Teachers","Total",61,28,46
"2017-18","Bacon County","Bacon County Elementary School","Leaders","Not Applicable",2,0,0
"2017-18","Bacon County","Bacon County Elementary School","Teachers","Total",34.5,14,41
"2017-18","Bacon County","Bacon County High School","Leaders","Not Applicable",2,1,50
"2017-18","Bacon County","Bacon County High School","Teachers","Total",35.6,13.8,39
"2017-18","Bacon County","Bacon County Middle School","Leaders","Not Applicable",2,1,50
"2017-18","Bacon County","Bacon County Middle School","Teachers","Total",39.3,15.2,39
"2017-18","Bacon County","Bacon County Primary School","Leaders","Not Applicable",2,1,50
