sys_sch,SystemId,systemname,schoolname,SchoolId,gradecluster,Phone_Number,Street,City,State,Zip_Code,DistrictWebsite,total_enroll,Grades,Grade,SingleScore,enroll_percent_asian,enroll_percent_native,enroll_percent_black,enroll_percent_hispanic,enroll_percent_multiracial,enroll_percent_white,enroll_percent_ed,enroll_percent_swd,enroll_percent_lep,Four_Year_Graduation_Rate,CollegeEnrollment,Mobility,PPE,rtc20
603102,603,Bacon County,Bacon County Primary School,102,E,(912)632-4765,251 Cumberland Rd,Alma,GA,31510,http://www.bcraiders.com/,518,K-2,,,0,0,25,15,5,54,85,15.9,9,,,15.3,,
603202,603,Bacon County,Bacon County Middle School,202,M,(912)632-4662,1188 US Hwy 1 South ,Alma,GA,31510,http://www.bcraiders.com/,552,6-8,,,0,0,22,15,5,58,78,18.4,9,,,8.5,,
603302,603,Bacon County,Bacon County High School,302,H,(912)632-4414,1190 US Highway 1 S,Alma,GA,31510,http://www.bcraiders.com/,603,9-12,,,1,0,19,11,2,67,52,12.8,2,92.90000000000001,,9,,
6033050,603,Bacon County,Bacon County Elementary School,3050,E,912-632-4133,523 East 16th St Alma,Alma,GA,31510,http://www.bcraiders.com/,474,3-5,,,0,0,22,16,5,56,84,18,11,,,9.9,,
604105,604,Baker County,Baker County K12 School,105,E,(229)734-5274,260 GA-37 SW,Newton,GA,39870,http://www.baker.k12.ga.us/,278,K-12,,,0,0,53,15,7,25,100,18.299999,1,,,21.6,,
605100,605,Baldwin County,Oak Hill MS,100,M,(478)457-3370,365 Blandy Rd NW,Milledgeville,GA,31061,https://www.baldwincountyschoolsga.org/,1216,6-8,,,1,0,72,2,4,20,93,11,1,,,9.600000000000001,,
605189,605,Baldwin County,Baldwin High School,189,H,(478)453-6429,155 Ga Highway 49 W,Milledgeville,GA,31061,https://www.baldwincountyschoolsga.org/,1267,9-12,,,1,0,72,2,3,22,93,11.8,1,85,,10.5,,
605300,605,Baldwin County,Lakeview Academy,300,E,(478)457-2967,220 N ABC St ,Milledgeville,GA,31061,https://www.baldwincountyschoolsga.org/,669,3-5,,,2,0,64,2,5,27,93,19.5,0,,,10,,
605301,605,Baldwin County,Midway Hills Primary,301,E,(478)457-2495,375Blandy Rd,Milledgeville,GA,31061,https://www.baldwincountyschoolsga.org/,591,K-2,,,0,0,65,0,5,30,93,14.1,0,,,13.9,,
605302,605,Baldwin County,Lakeview Primary,302,E,(478)-457-3301,"372 Blandy Rd,",Milledgeville,GA,31061,https://www.baldwincountyschoolsga.org/,735,K-2,,,2,0,55,4,7,32,93,12.3,4,,,8.300000000000001,,
605303,605,Baldwin County,Midway Hills Academy,303,E,(478)457-2240,101 Carl Vinson Rd SE,Milledgeville,GA,31061,https://www.baldwincountyschoolsga.org/,553,3-5,,,1,0,64,0,5,30,93,12.3,0,,,12.8,,
606105,606,Banks County,Banks County Middle School,105,M,(706)677-2277,712 Thompson St,Homer,GA,30547,http://www.banks.k12.ga.us/,744,6-8,,,1,0,1,11,4,84,62,14.7,7,,,11.2,,
606107,606,Banks County,Banks County Elementary School,107,E,(706)677-2308,180 Highway 51 S,Homer,GA,30547,http://www.banks.k12.ga.us/,645,3-5,,,0,0,2,8,5,84,65,17.1,6,,,12.3,,
606199,606,Banks County,Banks County High School,199,H,(706)677-2221,1486 Historic Homer Hwy,Homer,GA,30547,http://www.banks.k12.ga.us/,904,9-12,,,1,0,2,9,2,86,51,14.6,2,88.30000000000001,,11,,
606205,606,Banks County,Banks County Primary School,205,E,(706)677-2355,266 Highway 51 S,Homer,GA,30547,http://www.banks.k12.ga.us/,652,K-2,,,1,0,2,10,3,84,60,13.1,4,,,13.8,,
607101,607,Barrow County,Apalachee High School,101,H,(770)586-5111,940 Haymon-Morris Rd,Winder,GA,30680,http://www.barrow.k12.ga.us/,2077,9-12,,,4,0,15,20,5,55,49,13.6,6,85.90000000000001,,10.1,,
607105,607,Barrow County,County Line Elementary School,105,E,(770)867-2902,334 Rockwell Church Rd ,Winder,GA,30680,http://www.barrow.k12.ga.us/,577,K-5,,,6,0,5,17,9,63,53,18.4,16,,,13.1,,
6071050,607,Barrow County,Auburn Elementary School,1050,E,770-963-7887,1334 Sixth Ave,Auburn,GA,30011,http://www.barrow.k12.ga.us/,706,K-5,,,6,0,7,22,7,58,68,16.1,17,,,14,,
607106,607,Barrow County,Haymon-Morris Middle School,106,M,(678)963-0602,1008 Haymon Morris Rd,Winder,GA,30680,http://www.barrow.k12.ga.us/,979,6-8,,,4,0,16,23,5,52,52,14.4,15,,,8.700000000000001,,
607114,607,Barrow County,Bear Creek Middle School,114,M,(770) 725-5575,228 Jefferson St,Statham,GA,30666,http://www.barrow.k12.ga.us/,806,6-8,,,5,1,16,19,4,56,57,17.9,12,,,11.1,,
607189,607,Barrow County,Kennedy Elementary School,189,E,(770)867-3182,200 Matthews School Rd,Winder,GA,30680,http://www.barrow.k12.ga.us/,947,K-5,,,4,0,19,25,7,45,65,15.8,20,,,14.8,,
607193,607,Barrow County,Bramlett Elementary School,193,E,(770)307-1627,622 Freeman Brock Rd,Auburn,GA,30011,http://www.barrow.k12.ga.us/,645,K-5,,,6,0,6,16,6,67,38,12.9,16,,,8,,
607198,607,Barrow County,Westside Middle School,198,M,(770)307-2972,240 Matthews School Rd,Winder,GA,30680,http://www.barrow.k12.ga.us/,853,6-8,,,4,0,14,20,6,56,61,15.9,12,,,12.5,,
607205,607,Barrow County,Bethlehem Elementary School,205,E,(770)867-2238,47 McElhannon Rd SW,Bethlehem,GA,30620,http://www.barrow.k12.ga.us/,736,K-5,,,4,0,8,23,4,60,54,13.9,16,,,5.600000000000001,,
607289,607,Barrow County,Russell Middle School,289,M,(770)867-8181,364 W. Candler St.,Winder,GA,30680,http://www.barrow.k12.ga.us/,1052,6-8,,,6,0,13,18,5,58,50,14.7,12,,,10.1,,
607298,607,Barrow County,Yargo Elementary School,298,E,(770)867-1147,1000 Haymon-Morris Rd,Winder,GA,30680,http://www.barrow.k12.ga.us/,943,K-5,,,4,0,17,21,6,53,54,13.3,19,,,12.6,,
607299,607,Barrow County,Winder Elementary School,299,E,(678)425-2914,194 McNeal Rd,Winder,GA,30680,http://www.barrow.k12.ga.us/,672,K-5,,,5,0,21,19,8,46,69,14.7,15,,,12.3,,
6073052,607,Barrow County,Winder-Barrow High School,3052,H,770-867-4519,272 North 5th Ave.,Winder,GA,30680,http://www.barrow.k12.ga.us/,2216,9-12,,,6,0,15,18,4,57,45,12.9,6,84.40000000000001,,10,,
6074050,607,Barrow County,Holsenbeck Elementary School,4050,E,770-307-1540,445 Holsenbeck School Rd.,Winder,GA,30680,http://www.barrow.k12.ga.us/,731,K-5,,,5,0,9,20,6,60,57,14.7,18,,,10.3,,
6075050,607,Barrow County,Statham Elementary School,5050,E,770-725-7112,1970 Broad St.,Statham,GA,30666,http://www.barrow.k12.ga.us/,772,K-5,,,4,0,13,19,6,59,55,17.299999,16,,,11.2,,
608101,608,Bartow County,Woodland Middle School at Euharlee,101,M,(770)606-5871,1061 Euharlee Rd,Euharlee,GA,30145,http://www.bartow.k12.ga.us/,771,6-8,,,0,1,8,9,5,77,53,13.4,3,,,9.800000000000001,,
608104,608,Bartow County,Clear Creek Elementary School,104,E,770-606-5886,50 Pleasant Valley Rd ,Cartersville,GA,30121,http://www.bartow.k12.ga.us/,624,K-5,,,1,0,3,9,4,83,51,11.6,4,,,14.6,,
608105,608,Bartow County,Adairsville High School,105,H,(770)606-5841,519 Old Highway 41 ,Adairsville,GA,30103,http://www.bartow.k12.ga.us/,1001,9-12,,,1,0,6,8,3,82,43,12.7,2,92.30000000000001,,7.7,,
608106,608,Bartow County,Pine Log Elementary,106,E,770-606-5864,1095 Cass Pine Log Rd,Rydal,GA,30171,http://www.bartow.k12.ga.us/,415,K-5,,,0,1,1,6,4,88,52,14.6,5,,,11.3,,
608107,608,Bartow County,Euharlee Elementary School,107,E,(770)606-5900,1058 Euharlee Rd,Kingston,GA,30145,http://www.bartow.k12.ga.us/,467,K-5,,,0,0,8,8,5,78,48,12.2,3,,,13.6,,
608114,608,Bartow County,Cass High School,114,H,(770)606-5845,1000 Colonel Way,White,GA,30184,http://www.bartow.k12.ga.us/,1585,9-12,,,3,0,15,18,5,58,51,12.2,4,89.80000000000001,,12.4,,
608115,608,Bartow County,Cloverleaf Elementary,115,E,(770)606-5847,291 Highway 20 Spur,Cartersville,GA,30121,http://www.bartow.k12.ga.us/,727,K-5,,,2,0,19,16,7,56,66,9.3000002,11,,,19.5,,
608175,608,Bartow County,White Elementary School,175,E,(770)606-5869,505 Colonel Way,White,GA,30184,http://www.bartow.k12.ga.us/,574,K-5,,,2,0,15,16,6,62,60,10,7,,,15.8,,
608177,608,Bartow County,Adairsville Elementary School,177,E,(770)606-5840,118 N. Franklin St.,Adairsville,GA,30103,http://www.bartow.k12.ga.us/,747,K-5,,,0,0,7,8,6,79,52,10.9,4,,,9.5,,
608186,608,Bartow County,Mission Road Elementary School,186,E,(770)606-5863,1100 Mission Rd SW,Cartersville,GA,30120,http://www.bartow.k12.ga.us/,427,K-5,,,0,0,8,14,5,72,56,13.7,8,,,7.7,,
608190,608,Bartow County,Red Top Middle School,190,M,(770)606-5865,224 Old Alabama Rd SE,Emerson,GA,30137,http://www.bartow.k12.ga.us/,701,6-8,,,1,0,11,25,4,58,76,14,18,,,20.1,,
608195,608,Bartow County,Cass Middle School,195,M,(770)606-5846,195 Fire Tower Rd NW,Cartersville,GA,30120,http://www.bartow.k12.ga.us/,1081,6-8,,,2,0,15,19,5,58,59,13.2,12,,,15.9,,
608196,608,Bartow County,Allatoona Elementary School,196,E,(770)606-5843,4150 New Hope Church Rd SE,Acworth,GA,30102,http://www.bartow.k12.ga.us/,425,K-5,,,0,0,4,37,6,52,73,14.6,29,,,16.4,,
608198,608,Bartow County,Woodland High School,198,H,(770)606-5870,800 Old Alabama Rd SE,Cartersville,GA,30120,http://www.bartow.k12.ga.us/,1573,9-12,,,0,0,6,15,4,75,43,10.1,2,91.80000000000001,,12.3,,
6082052,608,Bartow County,Emerson Elementary School,2052,E,770-606-5848,220 Old Alabama Road,Emerson,GA,30137,http://www.bartow.k12.ga.us/,406,K-5,,,1,0,7,15,4,73,77,11.4,11,,,27.6,,
608296,608,Bartow County,Kingston Elementary School,296,E,(770)606-5850,240 Hardin Bridge Rd,Kingston,GA,30145,http://www.bartow.k12.ga.us/,529,K-5,,,1,0,16,26,6,51,76,10,19,,,22.5,,
608301,608,Bartow County,Adairsville Middle School,301,M,(770)606-5842,485 Old Highway 41 NW,Adairsville,GA,30103,http://www.bartow.k12.ga.us/,850,6-8,,,0,0,5,9,3,82,49,13.2,3,,,8.700000000000001,,
608377,608,Bartow County,Hamilton Crossing Elementary School,377,E,(770)606-5849,116 Hamilton Crossing Rd NW,Cartersville,GA,30120,http://www.bartow.k12.ga.us/,532,K-5,,,2,1,7,22,6,62,55,14.9,19,,,16.4,,
608396,608,Bartow County,Taylorsville Elementary School,396,E,(770)606-5867,1502 Old Alabama Rd,Taylorsville,GA,30178,http://www.bartow.k12.ga.us/,495,K-5,,,0,0,5,10,5,80,49,8.5,5,,,15,,
609111,609,Ben Hill County,Ben Hill Elementary School,111,E,(229) 409-5586,328 Lobinger Ave,Fitzgerald,GA,31750,http://ben-hill.k12.ga.us/,731,3-5,,,0,0,43,11,3,42,89,9.6999998,9,,,10.7,,
609196,609,Ben Hill County,Ben Hill County Primary School,196,E,(229) 409-5592,221 Jc Hunter Dr,Fitzgerald,GA,31750,http://ben-hill.k12.ga.us/,696,K-2,,,1,0,45,9,2,42,89,13.9,7,,,10.5,,
609291,609,Ben Hill County,Fitzgerald High School,291,H,(229) 409-5530,601 W Cypress St,Fitzgerald,GA,31750,http://ben-hill.k12.ga.us/,845,9-12,,,1,0,44,15,3,37,65,14.6,1,90,,11,,
609296,609,Ben Hill County,Ben Hill County Middle School,296,M,(229) 409-5578,134 Jc Hunter Dr,Fitzgerald,GA,31750,http://ben-hill.k12.ga.us/,775,6-8,,,1,0,45,12,3,39,89,11.7,4,,,9,,
609392,609,Ben Hill County,Hurricane Transition Academy,392,H,229-409-5551,406 West Suwannee Street,Fitzgerald,GA,31750,http://ben-hill.k12.ga.us/,45,9-12,,,0,6,24,6,0,65,88,11.8,0,,,233.3,,
610101,610,Berrien County,Berrien High School,101,H,229-686-7428,500 E Smith Ave,Nashville,GA,31639,http://www.berrienschools.org,883,9-12,,,1,0,12,10,3,73,51,10.2,1,91.40000000000001,,10.9,,
610106,610,Berrien County,Berrien Academy Performance Learning Center,106,H,229-686-6576,1015 Exum Rd,Nashville,GA,31639,http://www.berrienschools.org,75,9-12,,,0,0,7,4,1,87,31,5.9000001,0,61.1,,23.9,,
610194,610,Berrien County,Berrien Middle School,194,M,229-686-2021,800 Tifton Rd,Nashville,GA,31639,http://www.berrienschools.org,782,6-8,,,0,0,13,9,3,74,52,10.8,4,,,9,,
610195,610,Berrien County,Berrien Elementary School,195,E,229-686-2939,802 Middle School Cir,Nashville,GA,31639,http://www.berrienschools.org,718,3-5,,,0,0,12,7,6,75,83,11.2,5,,,11.7,,
6105050,610,Berrien County,Berrien Primary School,5050,E,229-686-7438,1427 North Davis Street,Nashville,GA,31639,http://www.berrienschools.org,765,K-2,,,0,0,13,8,6,72,83,10.7,3,,,10.8,,
6111005,611,Bibb County,Brookdale Elementary School,1005,E,478-779-2800,3600 Brookdale Avenue,Macon,GA,31204,http://www.bcsdk12.net,730,K-5,,,0,0,95,1,2,2,98,7.8000002,0,,,32.1,,
611103,611,Bibb County,Skyview Elementary School,103,E,478-779-4000,5700 Fulton Mill Rd,Lizella,GA,31052,http://www.bcsdk12.net,430,K-5,,,1,0,33,6,7,54,95,11.6,1,,,11.4,,
611104,611,Bibb County,Burdell Elementary School,104,E,478-779-2950,972 Fort Hill St,Macon,GA,31217,http://www.bcsdk12.net,503,K-5,,,1,0,93,4,1,2,95,8.1000004,3,,,14,,
611105,611,Bibb County,Howard High School,105,H,478-779-4850,6400 Forsyth Rd,Macon,GA,31210,http://www.bcsdk12.net,1284,9-12,,,4,0,66,6,3,22,95,11,3,82.7,,19,,
6111050,611,Bibb County,Alexander II Magnet School,1050,E,478-779-2700,1156 College Street,Macon,GA,31201,http://www.bcsdk12.net,462,K-5,,,2,0,77,3,5,12,95,4.5999999,2,,,3.5,,
6111054,611,Bibb County,Bernd Elementary School,1054,E,478-779-2750,4160 Ocmulgee East Blvd.,Macon,GA,31217,http://www.bcsdk12.net,446,K-5,,,0,0,88,1,4,7,95,11.2,0,,,13.7,,
6111067,611,Bibb County,Porter Elementary School,1067,E,478-779-4350,5802 School Road,Macon,GA,31216,http://www.bcsdk12.net,408,K-5,,,1,0,30,38,3,27,98,7.4000001,26,,,19.8,,
611108,611,Bibb County,Ballard Hudson Middle School,108,M,478-779-3400,1070 Anthony Rd,Macon,GA,31204,http://www.bcsdk12.net,793,6-8,,,0,0,94,2,1,3,95,14,1,,,26.8,,
611109,611,Bibb County,Bruce Elementary School,109,E,478-779-4550,3660 Houston Ave,Macon,GA,31206,http://www.bcsdk12.net,482,K-5,,,0,0,92,3,1,4,98,5.3000002,1,,,37.5,,
6111105,611,Bibb County,Springdale Elementary School,1105,E,478-779-3750,4965 Northside Drive,Macon,GA,31210,http://www.bcsdk12.net,645,K-5,,,7,1,43,4,4,41,98,9.6999998,6,,,17.4,,
6111205,611,Bibb County,Carter Elementary School,1205,E,478-779-3350,5910 Zebulon Road,Macon,GA,31210,http://www.bcsdk12.net,449,K-5,,,6,0,65,2,6,21,95,11.3,6,,,15.4,,
6111305,611,Bibb County,Lane Elementary School,1305,E,478-779-3150,990 Newport Road,Macon,GA,31210,http://www.bcsdk12.net,522,K-5,,,1,0,78,5,6,10,95,7,3,,,29.6,,
6111306,611,Bibb County,Martin Luther King Jr Elementary School,1306,E,478-779-2100,1301 Shurling Drive,Macon,GA,31211,http://www.bcsdk12.net,704,K-5,,,0,0,94,1,2,3,95,9,0,,,27,,
6111307,611,Bibb County,Southfield Elementary School,1307,E,478-779-4300,4375 Bloomfield Drive Ext.,Macon,GA,31206,http://www.bcsdk12.net,890,K-5,,,0,1,82,10,3,4,95,8.1999998,8,,,25.6,,
6111309,611,Bibb County,Veterans Elementary School,1309,E,478-779-2400,4901 Faubus Avenue,Macon,GA,31206,http://www.bcsdk12.net,900,K-5,,,1,0,82,12,2,4,95,9.8000002,9,,,31.6,,
611186,611,Bibb County,Central High School,186,H,478-779-2300,2155 Napier Ave,Macon,GA,31204,http://www.bcsdk12.net,1065,9-12,,,1,0,89,3,2,5,95,6.8000002,0,82.30000000000001,,15,,
611198,611,Bibb County,Westside High School,198,H,478-779-3800,2851 Heath Rd,Macon,GA,31206,http://www.bcsdk12.net,1097,9-12,,,1,0,87,4,2,5,95,10.3,1,70.7,,20.4,,
611203,611,Bibb County,Vineville Academy,203,E,478-779-3250,2260 Vineville Ave,Macon,GA,31204,http://www.bcsdk12.net,552,K-5,,,1,0,78,4,2,15,98,3.4000001,1,,,3.9,,
611204,611,Bibb County,Rutland High School,204,H,478-779-3100,6250 Skipper Rd,Macon,GA,31216,http://www.bcsdk12.net,970,9-12,,,2,0,45,13,4,37,95,11.6,5,77.80000000000001,,16.5,,
611205,611,Bibb County,Howard Middle School,205,M,478-779-3500,6600 Forsyth Rd,Macon,GA,31210,http://www.bcsdk12.net,1231,6-8,,,4,0,70,6,3,16,95,13.9,5,,,21,,
6112060,611,Bibb County,Hartley Elementary School,2060,E,478-779-2500,2230 Anthony Road,Macon,GA,31204,http://www.bcsdk12.net,544,K-5,,,0,0,97,1,2,1,95,5,0,,,20.8,,
611286,611,Bibb County,Northeast High School,286,H,478-779-4100,1646 Upper River Rd,Macon,GA,31211,http://www.bcsdk12.net,815,9-12,,,0,0,95,1,2,2,95,9.3000002,0,80.10000000000001,,23,,
611298,611,Bibb County,Miller Magnet Middle School,298,M,478-779-4050,751 Hendley St,Macon,GA,31204,http://www.bcsdk12.net,628,6-8,,,1,0,88,3,2,5,98,11.8,1,,,15.5,,
611305,611,Bibb County,Rutland Middle School,305,M,478-779-4400,6260 Skipper Rd,Macon,GA,31216,http://www.bcsdk12.net,923,6-8,,,1,0,50,13,3,32,98,11.7,7,,,16.6,,
6113060,611,Bibb County,Heard Elementary School,3060,E,478-779-4250,6515 Houston Road,Macon,GA,31216,http://www.bcsdk12.net,566,K-5,,,1,0,40,7,4,49,95,8.6999998,3,,,11.6,,
6113067,611,Bibb County,Ingram/Pye Elementary School,3067,E,478-779-3000,855 Anthony Road,Macon,GA,31204,http://www.bcsdk12.net,492,K-5,,,0,0,96,1,1,2,95,8.8999996,0,,,30.8,,
611383,611,Bibb County,Williams Elementary School,383,E,478-779-3650,325 Pursley St,Macon,GA,31201,http://www.bcsdk12.net,401,K-5,,,0,0,96,1,0,3,95,11.1,0,,,38.2,,
611386,611,Bibb County,Southwest High School,386,H,478-779-4500,1775 Williamson Rd,Macon,GA,31206,http://www.bcsdk12.net,899,9-12,,,0,0,95,2,1,2,98,13.6,0,67.8,,19.7,,
611405,611,Bibb County,Rosa Taylor Elementary School,405,E,478-779-3550,2976 Crestline Dr,Macon,GA,31204,http://www.bcsdk12.net,623,K-5,,,1,0,73,7,5,14,95,17.700001,7,,,28.1,,
611505,611,Bibb County,Weaver Middle School,505,M,478-779-4650,2570 Heath Rd,Macon,GA,31206,http://www.bcsdk12.net,1035,6-8,,,1,0,85,7,2,5,95,14.2,5,,,16.1,,
6115050,611,Bibb County,Appling Middle School,5050,M,478-779-2200,1210 Shurling Drive,Macon,GA,31211,http://www.bcsdk12.net,776,6-8,,,0,0,93,1,2,3,98,12.7,0,,,23.2,,
611605,611,Bibb County,Heritage Elementary School,605,E,478-779-4700,6050 Thomaston Rd,Macon,GA,31220,http://www.bcsdk12.net,658,K-5,,,3,0,68,5,5,20,95,10.3,2,,,14.4,,
611705,611,Bibb County,Union Elementary School,705,E,478-779-2650,4831 Mamie Carter Dr,Macon,GA,31210,http://www.bcsdk12.net,552,K-5,,,0,0,95,1,2,3,97,9,0,,,23.6,,
612105,612,Bleckley County,Bleckley County High School,105,H,(478) 934-6258,1 Royal Drive 155 GA Hwy 87 Bypass S,Cochran,GA,31014,http://www.bleckley.k12.ga.us/,670,9-12,,,1,0,25,4,3,67,50,13.7,0,98.80000000000001,,6.5,,
6121050,612,Bleckley County,Bleckley County Primary School,1050,E,(478) 934-2280,259 East Peter Street,Cochran,GA,31014,http://www.bleckley.k12.ga.us/,619,K-2,,,1,0,24,2,4,68,71,13.1,0,,,8.800000000000001,,
612112,612,Bleckley County,Bleckley Middle School,112,M,(478) 934-7270,590 Hwy 26 E,Cochran,GA,31014,http://www.bleckley.k12.ga.us/,560,6-8,,,1,0,25,3,2,70,52,15.5,1,,,6.7,,
612115,612,Bleckley County,Bleckley County Success Academy,115,H,(478) 934-1685,140 Country Club Rd,Cochran,GA,31014,http://www.bleckley.k12.ga.us/,97,6-12,,,0,0,26,4,6,64,72,22.6,0,77.80000000000001,,111.3,,
612197,612,Bleckley County,Bleckley County Elementary School,197,E,(478) 934-3600,470 Hwy 26 E,Cochran,GA,31014,http://www.bleckley.k12.ga.us/,595,3-5,,,1,0,26,3,2,67,71,17,0,,,7.100000000000001,,
613101,613,Brantley County,Waynesville Primary School,101,E,(912) 778-3068,5726 Old Waynesville Road,Waynesville,GA,31566,http://www.brantley.k12.ga.us,409,K-3,,,0,0,3,2,3,93,70,9.1000004,0,,,15.3,,
6131050,613,Brantley County,Brantley County High School,1050,H,(912) 462-5121,10804 Highway 82,Nahunta,GA,31553,http://www.brantley.k12.ga.us,1019,9-12,,,1,0,3,3,2,92,70,13.8,1,94.40000000000001,,11,,
613110,613,Brantley County,Atkinson Elementary School,110,M,(912) 778-6098,4327 GA-110,Waynesville,GA,31566,http://www.brantley.k12.ga.us,301,4-6,,,0,0,3,4,4,89,71,14.5,0,,,16.4,,
613194,613,Brantley County,Brantley County Middle School,194,M,(912) 462-7092,10990 Highway 82,Nahunta,GA,31553,http://www.brantley.k12.ga.us,523,7-8,,,0,0,3,4,3,90,71,14.2,0,,,9.300000000000001,,
6132050,613,Brantley County,Hoboken Elementary School,2050,M,(912) 458-2135,224 Church Street,Hoboken,GA,31542,http://www.brantley.k12.ga.us,538,K-6,,,0,0,3,3,5,89,71,10.7,1,,,12.6,,
613294,613,Brantley County,Nahunta Elementary School,294,M,(912) 462-5166,9110 Main Street South,Nahunta,GA,31553,http://www.brantley.k12.ga.us,311,4-6,,,1,0,4,2,2,91,71,11.9,0,,,13.6,,
6133050,613,Brantley County,Nahunta Primary School,3050,E,(912) 462-5179,479 School Circle,Nahunta,GA,31553,http://www.brantley.k12.ga.us,388,K-3,,,0,0,3,1,2,93,71,10.5,1,,,13.6,,
614110,614,Brooks County,Brooks County High School,110,H,(229) 588-2341,1801 Moultrie Hwy,Quitman,GA,31643,http://www.brooks.k12.ga.us,500,6-12,,,1,0,49,14,3,33,99,11.6,3,93.7,,13.5,,
614193,614,Brooks County,Quitman Elementary School,193,E,(229) 588-2343,2200 Moultrie Hwy,Quitman,GA,31643,http://www.brooks.k12.ga.us,698,K-5,,,0,0,68,12,1,18,99,7.6999998,10,,,16.7,,
614197,614,Brooks County,Brooks County Middle School,197,M,(229) 588-2342,2171 Moultrie Hwy,Quitman,GA,31643,http://www.brooks.k12.ga.us,535,6-8,,,0,0,52,13,4,31,99,11.6,6,,,21.2,,
614393,614,Brooks County,North Brooks Elementary School,393,E,(229) 588-2344,10295 Coffee Rd,Morven,GA,31638,http://www.brooks.k12.ga.us,410,K-5,,,0,0,27,9,4,59,99,9.1000004,6,,,24.9,,
614394,614,Brooks County,Delta Innovative School,394,M,(229) 588-2351,1081 Barwick Rd,Quitman,GA,31643,http://www.brooks.k12.ga.us,178,6-12,,,0,0,71,5,2,22,99,17.6,0,77.80000000000001,,77.40000000000001,,
615101,615,Bryan County,Dr. George Washington Carver Elementary School,101,E,912-459-5111,476 Frances Meeks Way,Richmond Hill,GA,31324,http://www.bryan.k12.ga.us/,809,4-5,,,4,0,18,11,5,61,37,13.5,4,,,12.9,,
615182,615,Bryan County,Richmond Hill High School,182,H,912-459-5151,1 Wildcat Dr.,Richmond Hill,GA,31324,http://www.bryan.k12.ga.us/,2437,9-12,,,3,0,16,12,6,63,23,10.1,2,93.90000000000001,,7,,
615199,615,Bryan County,Richmond Hill Middle School,199,M,912-459-5130,503 Warren Hill Rd.,Richmond Hill,GA,31324,http://www.bryan.k12.ga.us/,1926,6-8,,,4,0,16,11,6,63,26,12,3,,,9.200000000000001,,
615202,615,Bryan County,Richmond Hill Primary School,202,E,912-459-5080,471 Frances Meeks Way,Richmond Hill,GA,31324,http://www.bryan.k12.ga.us/,707,K-1,,,5,0,15,11,7,62,31,6.4000001,3,,,16.8,,
615282,615,Bryan County,Lanier Primary School,282,E,912-626-5020,6024 Hwy. 280 E.,Pembroke,GA,31321,http://www.bryan.k12.ga.us/,506,K-2,,,0,0,16,3,6,74,71,10.1,1,,,14.6,,
