"SysSchoolID","SchoolName","Number Tested All Students","Fail All Students","Pass All Students","Number Tested Economically Disadvantaged","Fail Economically Disadvantaged","Pass Economically Disadvantaged","Number Tested Migrant","Fail Migrant","Pass Migrant","Number Tested Not Economically Disadv.","Fail Not Economically Disadv.","Pass Not Economically Disadv.","Number Tested Asian","Fail Asian","Pass Asian","Number Tested Black","Fail Black","Pass Black","Number Tested Female","Fail Female","Pass Female","Number Tested Hispanic","Fail Hispanic","Pass Hispanic","Number Tested Limited English Proficient","Fail Limited English Proficient","Pass Limited English Proficient","Number Tested Male","Fail Male","Pass Male","Number Tested Native Amer/Alaskan Native","Fail Native Amer/Alaskan Native","Pass Native Amer/Alaskan Native","Number Tested Students without Disabilities","Fail Students without Disabilities","Pass Students without Disabilities","Number Tested Students with Disabilities","Fail Students with Disabilities","Pass Students with Disabilities","Number Tested Multiracial","Fail Multiracial","Pass Multiracial","Number Tested White","Fail White","Pass White"
"663:3552","Brunswick High School","293","12","88","92","20","80","","","","200","8","93","","","","113","15","85","154","7","93","5","","","","","","138","16","84","","","","259","5","95","33","58","42","","","","174","9","91"
"663:4752","Glynn Academy","320","10","90","58","26","74","","","","252","6","94","1","","","78","26","74","163","6","94","3","","","","","","147","13","87","2","","","289","8","92","21","33","67","","","","226","4","96"
"663:ALL","Glynn County","613","11","89","150","22","78","","","","452","6","94","1","","","191","19","81","317","7","93","8","","","","","","285","14","86","2","","","548","7","93","54","48","52","","","","400","6","94"
"664:286","Gordon Central High School","322","13","87","62","16","84","","","","259","11","89","3","","","9","","","147","10","90","14","21","79","4","","","174","14","86","1","","","284","7","93","37","51","49","4","","","290","11","89"
"664:ALL","Gordon County","322","13","87","62","16","84","","","","259","11","89","3","","","9","","","147","10","90","14","21","79","4","","","174","14","86","1","","","284","7","93","37","51","49","4","","","290","11","89"
"665:1050","Cairo High School","233","12","88","83","18","82","1","","","150","9","91","","","","82","22","78","133","8","92","4","","","","","","100","17","83","1","","","223","10","90","10","","","3","","","143","7","93"
"665:ALL","Grady County","233","12","88","83","18","82","1","","","150","9","91","","","","82","22","78","133","8","92","4","","","","","","100","17","83","1","","","223","10","90","10","","","3","","","143","7","93"
"666:401","Greene County High School","117","22","78","116","22","78","","","","","","","","","","94","24","76","57","21","79","1","","","","","","59","22","78","","","","111","21","79","5","","","","","","21","5","95"
"666:ALL","Greene County","117","22","78","116","22","78","","","","","","","","","","94","24","76","57","21","79","1","","","","","","59","22","78","","","","111","21","79","5","","","","","","21","5","95"
"667:101","Grayson High School","453","3","97","24","17","83","","","","413","2","98","10","","","32","6","94","223","3","97","10","","","5","","","214","3","97","","","","412","2","98","25","12","88","6","","","379","2","98"
"667:103","Norcross High School","466","10","90","128","20","80","","","","326","4","96","73","11","89","102","7","93","244","9","91","62","32","68","38","53","47","210","9","91","","","","429","8","92","25","28","72","6","","","211","2","98"
"667:1050","Berkmar High School","429","12","88","154","16","84","1","","","265","8","92","62","11","89","133","6","94","217","8","92","84","31","69","45","56","44","202","14","86","1","","","393","9","91","26","46","54","11","9","91","128","4","96"
"667:176","Parkview High School","558","4","96","52","15","85","","","","497","2","98","78","8","92","59","10","90","281","3","97","21","10","90","6","","","268","4","96","","","","500","3","97","49","8","92","7","","","384","1","99"
"667:182","Brookwood High School","656","2","98","46","11","89","","","","610","2","98","49","4","96","46","2","98","330","2","98","23","39","61","9","","","326","4","96","","","","597","2","98","59","17","83","13","0","100","525","2","98"
"667:185","Shiloh High School","394","8","92","78","23","77","","","","312","3","97","13","0","100","129","11","89","195","3","97","16","25","75","6","","","195","11","89","1","","","351","3","97","39","41","59","5","","","226","4","96"
"667:187","Meadowcreek High School","287","13","87","129","12","88","","","","132","10","90","64","14","86","81","7","93","133","8","92","61","23","77","23","65","35","128","14","86","","","","253","10","90","8","","","6","","","49","0","100"
"667:189","Phoenix High School","26","15","85","1","","","","","","18","17","83","1","","","6","","","12","25","75","7","","","","","","7","","","","","","19","21","79","","","","","","","5","",""
"667:195","Collins Hill High School","723","6","94","69","22","78","","","","617","4","96","68","15","85","77","9","91","356","4","96","46","24","76","21","71","29","330","8","92","1","","","650","4","96","36","31","69","8","","","486","2","98"
"667:2558","South Gwinnett High School","347","7","93","46","17","83","","","","267","4","96","9","","","70","11","89","171","8","92","10","","","3","","","142","4","96","","","","297","4","96","16","38","63","9","","","215","3","97"
"667:3750","Central Gwinnett High School","396","10","90","106","17","83","","","","272","5","95","34","9","91","91","11","89","204","6","94","38","26","74","30","53","47","174","10","90","","","","359","7","93","19","32","68","3","","","212","4","96"
"667:388","Gwinnett InterVention Education (GIVE) Center","11","9","91","3","","","","","","5","","","","","","3","","","2","","","1","","","","","","6","","","","","","5","","","3","","","1","","","3","",""
"667:4052","Dacula High School","485","5","95","48","13","88","","","","421","4","96","20","5","95","48","6","94","253","3","97","24","33","67","11","64","36","216","7","93","2","","","441","3","97","28","25","75","12","0","100","363","3","97"
"667:4556","North Gwinnett High School","579","6","94","33","15","85","","","","487","5","95","55","9","91","39","13","87","263","3","97","30","10","90","14","71","29","257","8","92","2","","","479","4","96","41","24","76","7","","","387","4","96"
"667:5550","Duluth High School","466","11","89","74","39","61","","","","403","6","94","116","13","87","55","9","91","238","11","89","53","53","47","52","62","38","239","12","88","","","","438","11","89","39","13","87","3","","","250","2","98"
"667:ALL","Gwinnett County","6276","7","93","991","19","81","1","","","5045","4","96","652","11","89","971","9","91","3122","5","95","486","29","71","263","60","40","2914","8","92","7","","","5623","5","95","413","24","76","97","5","95","3823","3","97"
"668:2052","Habersham Central High School","311","9","91","44","23","77","2","","","263","6","94","7","","","6","","","171","6","94","15","27","73","3","","","136","12","88","","","","287","7","93","20","30","70","8","","","271","7","93"
"668:ALL","Habersham County","311","9","91","44","23","77","2","","","263","6","94","7","","","6","","","171","6","94","15","27","73","3","","","136","12","88","","","","287","7","93","20","30","70","8","","","271","7","93"
"669:102","Chestatee High School","170","9","91","41","22","78","4","","","131","5","95","","","","2","","","74","7","93","20","45","55","11","64","36","98","11","89","","","","164","9","91","8","","","","","","150","5","95"
"669:1552","East Hall High School","181","20","80","69","36","64","2","","","111","11","89","","","","33","21","79","87","14","86","25","60","40","7","","","93","27","73","","","","168","17","83","12","75","25","2","","","120","13","88"
"669:1556","North Hall High School","231","7","93","30","13","87","","","","196","6","94","1","","","1","","","108","3","97","8","","","4","","","118","10","90","1","","","217","4","96","9","","","","","","215","6","94"
"669:189","West Hall High School","199","22","78","49","49","51","6","","","150","13","87","5","","","3","","","99","14","86","37","57","43","25","80","20","100","30","70","2","","","192","20","80","7","","","2","","","150","11","89"
"669:198","Hall County/Gainesville Evening High School","11","18","82","3","","","","","","10","","","","","","","","","10","","","2","","","1","","","3","","","","","","10","","","3","","","","","","11","18","82"
"669:202","Flowery Branch High School","173","12","88","32","19","81","","","","142","10","90","1","","","14","21","79","69","4","96","13","38","62","8","","","105","16","84","","","","160","9","91","14","43","57","4","","","142","8","92"
"669:4752","Johnson High School","192","17","83","73","34","66","5","","","121","7","93","5","","","10","","","84","14","86","53","43","57","22","68","32","110","20","80","","","","184","15","85","10","","","","","","126","4","96"
"669:ALL","Hall County","1157","14","86","297","32","68","17","100","0","861","8","92","12","25","75","63","29","71","531","9","91","158","48","52","78","71","29","627","19","81","3","","","1095","12","88","63","59","41","8","","","914","8","92"
"670:288","Hancock Central High School","95","17","83","64","13","88","","","","15","13","87","","","","78","13","87","39","8","92","","","","","","","40","18","83","","","","75","8","92","4","","","","","","1","",""
"670:ALL","Hancock County","95","17","83","64","13","88","","","","15","13","87","","","","78","13","87","39","8","92","","","","","","","40","18","83","","","","75","8","92","4","","","","","","1","",""
"671:3050","Haralson County High School","185","26","74","61","38","62","","","","125","21","79","","","","15","53","47","93","22","78","","","","","","","93","31","69","","","","164","19","81","22","82","18","","","","171","24","76"
"671:ALL","Haralson County","185","26","74","61","38","62","","","","125","21","79","","","","15","53","47","93","22","78","","","","","","","93","31","69","","","","164","19","81","22","82","18","","","","171","24","76"
"672:299","Harris County High School","277","12","88","68","25","75","","","","209","7","93","1","","","68","24","76","143","8","92","1","","","","","","134","15","85","","","","263","10","90","14","43","57","","","","207","7","93"
"672:ALL","Harris County","277","12","88","68","25","75","","","","209","7","93","1","","","68","24","76","143","8","92","1","","","","","","134","15","85","","","","263","10","90","14","43","57","","","","207","7","93"
"673:195","Hart County Academy","3","","","2","","","","","","1","","","","","","1","","","","","","","","","","","","3","","","","","","3","","","","","","","","","2","",""
"673:3050","Hart County High School","165","19","81","63","37","63","","","","106","9","91","2","","","42","31","69","82","15","85","2","","","","","","87","24","76","","","","154","17","83","15","47","53","1","","","122","16","84"
"673:ALL","Hart County","168","21","79","65","38","62","","","","107","10","90","2","","","43","33","67","82","15","85","2","","","","","","90","27","73","","","","157","18","82","15","47","53","1","","","124","18","82"
"674:4050","Heard County High School","97","24","76","44","32","68","","","","52","15","85","","","","21","33","67","51","16","84","","","","","","","45","31","69","","","","92","21","79","4","","","","","","75","20","80"
"674:ALL","Heard County","97","24","76","44","32","68","","","","52","15","85","","","","21","33","67","51","16","84","","","","","","","45","31","69","","","","92","21","79","4","","","","","","75","20","80"
"675:101","Union Grove High","410","3","97","14","14","86","","","","391","3","97","2","","","46","4","96","200","3","98","4","","","","","","205","3","97","1","","","368","1","99","37","24","76","4","","","348","3","97"
"675:104","Luella High School","249","8","92","25","20","80","","","","215","4","96","2","","","34","12","88","111","4","96","3","","","","","","129","8","92","","","","221","4","96","19","32","68","2","","","199","5","95"
"675:195","Patrick Henry High School","25","24","76","1","","","","","","20","20","80","1","","","4","","","8","","","","","","","","","13","31","69","","","","18","17","83","3","","","","","","16","13","88"
"675:295","Stockbridge High School","352","7","93","46","15","85","","","","298","6","94","","","","134","8","92","195","5","95","7","","","2","","","149","10","90","","","","321","3","97","23","65","35","3","","","200","6","95"
"675:3050","Henry County High School","279","10","90","35","14","86","","","","226","8","92","7","","","80","16","84","139","9","91","10","","","2","","","122","9","91","","","","248","6","94","13","62","38","2","","","162","5","95"
"675:391","Eagle's Landing High School","393","3","97","35","9","91","","","","357","3","97","28","4","96","116","3","97","208","2","98","12","8","92","3","","","184","4","96","","","","372","3","97","20","15","85","8","","","228","3","97"
"675:ALL","Henry County","1708","6","94","156","15","85","","","","1507","5","95","40","8","93","414","8","92","861","4","96","36","14","86","7","","","802","7","93","1","","","1548","3","97","115","37","63","19","11","89","1153","4","96"
"676:1054","Perry High School","193","13","87","80","21","79","","","","114","7","93","4","","","66","20","80","97","10","90","3","","","","","","97","15","85","","","","166","8","92","28","43","57","","","","121","10","90"
"676:192","Houston County High School","479","5","95","53","15","85","","","","414","3","97","6","","","104","12","88","237","3","97","16","0","100","","","","230","6","94","1","","","442","3","97","25","32","68","8","","","332","3","97"
"676:2052","Northside High School","353","12","88","93","19","81","","","","260","10","90","7","","","152","17","83","191","10","90","5","","","","","","162","15","85","","","","318","9","91","35","46","54","1","","","188","8","92"
"676:300","Houston County Career and Technology Center","8","","","1","","","","","","4","","","","","","2","","","5","","","","","","","","","","","","","","","5","","","","","","","","","3","",""
"676:3050","Elberta Open Campus High School","11","9","91","3","","","","","","6","","","","","","4","","","3","","","","","","","","","6","","","","","","9","","","","","","","","","5","",""
"676:4056","Warner Robins High School","362","12","88","57","19","81","","","","305","11","89","9","","","88","24","76","180","9","91","7","","","1","","","182","15","85","2","","","330","9","91","32","41","59","3","","","253","8","92"
"676:ALL","Houston County","1406","10","90","287","19","81","","","","1103","7","93","26","12","88","416","18","82","713","8","92","31","16","84","1","","","677","12","88","3","","","1270","7","93","120","41","59","12","8","92","902","6","94"
"677:2050","Irwin County High School","111","21","79","55","33","67","","","","54","9","91","","","","43","33","67","57","21","79","","","","","","","52","21","79","","","","89","13","87","20","55","45","","","","66","14","86"
"677:ALL","Irwin County","111","21","79","55","33","67","","","","54","9","91","","","","43","33","67","57","21","79","","","","","","","52","21","79","","","","89","13","87","20","55","45","","","","66","14","86"
"678:191","Jackson County High School","263","11","89","65","18","82","","","","190","8","92","8","","","14","14","86","137","6","94","5","","","2","","","118","16","84","1","","","236","6","94","19","63","37","1","","","226","10","90"
"678:193","Regional Evening Alternative School","4","","","","","","","","","4","","","","","","1","","","2","","","","","","","","","2","","","","","","4","","","","","","","","","3","",""
"678:ALL","Jackson County","267","11","89","65","18","82","","","","194","8","92","8","","","15","13","87","139","6","94","5","","","2","","","120","16","84","1","","","240","7","93","19","63","37","1","","","229","10","90"
"679:101","Jasper County  High School","82","10","90","41","12","88","","","","39","5","95","","","","25","16","84","46","4","96","2","","","2","","","34","15","85","","","","73","5","95","7","","","","","","53","6","94"
"679:ALL","Jasper County","82","10","90","41","12","88","","","","39","5","95","","","","25","16","84","46","4","96","2","","","2","","","34","15","85","","","","73","5","95","7","","","","","","53","6","94"
"680:199","Jeff Davis High School","171","9","91","63","16","84","","","","108","6","94","2","","","21","14","86","97","8","92","2","","","","","","74","11","89","","","","157","5","95","14","57","43","","","","146","8","92"
"680:ALL","Jeff Davis County","171","9","91","63","16","84","","","","108","6","94","2","","","21","14","86","97","8","92","2","","","","","","74","11","89","","","","157","5","95","14","57","43","","","","146","8","92"
"681:196","Jefferson County High School","169","22","78","121","27","73","","","","45","9","91","","","","121","28","72","91","21","79","1","","","","","","75","24","76","","","","143","15","85","23","70","30","","","","44","7","93"
"681:ALL","Jefferson County","169","22","78","121","27","73","","","","45","9","91","","","","121","28","72","91","21","79","1","","","","","","75","24","76","","","","143","15","85","23","70","30","","","","44","7","93"
"682:201","Jenkins County High School","60","8","92","62","8","92","","","","","","","","","","35","11","89","40","5","95","1","","","","","","22","14","86","","","","60","7","93","2","","","1","","","25","0","100"
"682:ALL","Jenkins County","60","8","92","62","8","92","","","","","","","","","","35","11","89","40","5","95","1","","","","","","22","14","86","","","","60","7","93","2","","","1","","","25","0","100"
"683:201","Johnson County High School ","75","39","61","75","39","61","","","","","","","","","","42","50","50","37","35","65","","","","","","","38","42","58","","","","68","32","68","7","","","","","","33","24","76"
"683:ALL","Johnson County","75","39","61","75","39","61","","","","","","","","","","42","50","50","37","35","65","","","","","","","38","42","58","","","","68","32","68","7","","","","","","33","24","76"
"684:192","Jones County High School","288","10","90","46","22","78","","","","236","8","92","","","","66","18","82","160","7","93","","","","","","","122","15","85","","","","269","7","93","13","85","15","","","","216","8","92"
"684:ALL","Jones County","288","10","90","46","22","78","","","","236","8","92","","","","66","18","82","160","7","93","","","","","","","122","15","85","","","","269","7","93","13","85","15","","","","216","8","92"
"685:175","Lamar County Comprehensive High School","139","18","82","60","20","80","","","","76","17","83","2","","","49","22","78","64","11","89","1","","","","","","72","25","75","","","","129","16","84","7","","","","","","84","15","85"
"685:ALL","Lamar County","139","18","82","60","20","80","","","","76","17","83","2","","","49","22","78","64","11","89","1","","","","","","72","25","75","","","","129","16","84","7","","","","","","84","15","85"
"686:201","Lanier County High School","91","15","85","43","19","81","","","","48","13","88","1","","","22","23","77","47","17","83","1","","","","","","44","14","86","","","","82","10","90","9","","","1","","","66","14","86"
"686:ALL","Lanier County","91","15","85","43","19","81","","","","48","13","88","1","","","22","23","77","47","17","83","1","","","","","","44","14","86","","","","82","10","90","9","","","1","","","66","14","86"
"687:197","East Laurens High School","141","18","82","61","26","74","1","","","75","8","92","","","","58","31","69","74","15","85","1","","","","","","62","18","82","","","","130","13","87","6","","","","","","77","5","95"
"687:3054","West Laurens High School","206","15","85","71","25","75","2","","","134","9","91","1","","","56","27","73","104","9","91","1","","","1","","","101","21","79","","","","190","9","91","15","80","20","2","","","145","10","90"
"687:ALL","Laurens County","347","16","84","132","26","74","3","","","209","9","91","1","","","114","29","71","178","11","89","2","","","1","","","163","20","80","","","","320","11","89","21","81","19","2","","","222","8","92"
"688:193","Lee County High School","317","8","92","59","14","86","","","","252","6","94","3","","","42","14","86","156","4","96","2","","","","","","155","11","89","","","","297","6","94","14","43","57","","","","264","7","93"
"688:ALL","Lee County","317","8","92","59","14","86","","","","252","6","94","3","","","42","14","86","156","4","96","2","","","","","","155","11","89","","","","297","6","94","14","43","57","","","","264","7","93"
"689:192","Liberty County High School","218","8","92","65","12","88","","","","153","5","95","1","","","123","9","91","125","5","95","12","0","100","","","","93","11","89","1","","","202","2","98","16","69","31","7","","","74","7","93"
"689:3050","Bradwell Institute","358","12","88","117","15","85","","","","235","11","89","10","","","213","14","86","196","10","90","24","8","92","4","","","156","15","85","1","","","327","9","91","25","56","44","18","17","83","86","5","95"
"689:ALL","Liberty County","576","10","90","182","14","86","","","","388","9","91","11","27","73","336","12","88","321","8","92","36","6","94","4","","","249","13","87","2","","","529","6","94","41","61","39","25","12","88","160","6","94"
"690:201","Lincoln County High School","86","15","85","55","25","75","","","","39","8","92","","","","45","31","69","52","8","92","","","","","","","42","31","69","","","","83","12","88","11","64","36","","","","49","6","94"
"690:ALL","Lincoln County","86","15","85","55","25","75","","","","39","8","92","","","","45","31","69","52","8","92","","","","","","","42","31","69","","","","83","12","88","11","64","36","","","","49","6","94"
"691:196","Long County School","80","14","86","38","18","82","5","","","42","10","90","3","","","19","21","79","44","14","86","6","","","4","","","36","14","86","","","","79","13","87","1","","","3","","","49","6","94"
"691:ALL","Long County","80","14","86","38","18","82","5","","","42","10","90","3","","","19","21","79","44","14","86","6","","","4","","","36","14","86","","","","79","13","87","1","","","3","","","49","6","94"
"693:101","New Lumpkin County High School","176","9","91","34","9","91","","","","124","8","92","3","","","2","","","75","5","95","5","","","2","","","83","11","89","","","","149","7","93","9","","","1","","","147","5","95"
"693:ALL","Lumpkin County","176","9","91","34","9","91","","","","124","8","92","3","","","2","","","75","5","95","5","","","2","","","83","11","89","","","","149","7","93","9","","","1","","","147","5","95"
"694:2060","Macon County High School","111","31","69","113","31","69","","","","","","","","","","97","34","66","61","20","80","2","","","","","","52","44","56","","","","109","28","72","4","","","1","","","13","15","85"
"694:ALL","Macon County","111","31","69","113","31","69","","","","","","","","","","97","34","66","61","20","80","2","","","","","","52","44","56","","","","109","28","72","4","","","1","","","13","15","85"
"695:5050","Madison County High School","276","13","87","74","7","93","","","","204","15","85","1","","","19","16","84","149","7","93","8","","","1","","","129","19","81","","","","251","7","93","27","70","30","5","","","245","13","87"
"695:ALL","Madison County","276","13","87","74","7","93","","","","204","15","85","1","","","19","16","84","149","7","93","8","","","1","","","129","19","81","","","","251","7","93","27","70","30","5","","","245","13","87"
"696:275","Tri-County High School","102","12","88","55","15","85","2","","","46","9","91","","","","44","18","82","54","7","93","3","","","1","","","47","17","83","","","","99","10","90","2","","","1","","","53","6","94"
"696:ALL","Marion County","102","12","88","55","15","85","2","","","46","9","91","","","","44","18","82","54","7","93","3","","","1","","","47","17","83","","","","99","10","90","2","","","1","","","53","6","94"
"697:192","Thomson High School","233","17","83","106","27","73","","","","119","8","92","1","","","107","26","74","114","15","85","4","","","","","","111","19","81","","","","209","14","86","16","56","44","2","","","111","9","91"
"697:ALL","McDuffie County","233","17","83","106","27","73","","","","119","8","92","1","","","107","26","74","114","15","85","4","","","","","","111","19","81","","","","209","14","86","16","56","44","2","","","111","9","91"
"698:201","McIntosh County Academy High School ","110","25","75","62","26","74","","","","47","23","77","2","","","66","27","73","58","17","83","1","","","","","","51","33","67","","","","102","21","79","7","","","","","","40","20","80"
"698:ALL","McIntosh County","110","25","75","62","26","74","","","","47","23","77","2","","","66","27","73","58","17","83","1","","","","","","51","33","67","","","","102","21","79","7","","","","","","40","20","80"
"699:300","Greenville High School","88","44","56","84","44","56","","","","","","","","","","70","44","56","41","39","61","","","","","","","43","49","51","","","","62","29","71","22","86","14","","","","14","43","57"
"699:4050","Manchester High School","107","18","82","108","18","82","","","","","","","2","","","50","24","76","52","10","90","","","","","","","56","25","75","","","","94","6","94","14","93","7","","","","56","13","88"
"699:ALL","Meriwether County","195","30","70","192","29","71","","","","","","","2","","","120","36","64","93","23","77","","","","","","","99","35","65","","","","156","15","85","36","89","11","","","","70","19","81"
"700:201","Miller County High School","76","22","78","29","31","69","","","","46","15","85","","","","35","37","63","40","10","90","","","","","","","35","34","66","","","","63","11","89","12","75","25","","","","40","8","93"
"700:ALL","Miller County","76","22","78","29","31","69","","","","46","15","85","","","","35","37","63","40","10","90","","","","","","","35","34","66","","","","63","11","89","12","75","25","","","","40","8","93"
"701:282","Mitchell-Baker High School","107","16","84","106","15","85","1","","","","","","","","","84","14","86","72","11","89","2","","","","","","34","24","76","","","","97","8","92","9","","","","","","20","20","80"
"701:ALL","Mitchell County","107","16","84","106","15","85","1","","","","","","","","","84","14","86","72","11","89","2","","","","","","34","24","76","","","","97","8","92","9","","","","","","20","20","80"
"702:184","Mary Persons High School","229","16","84","70","34","66","","","","162","8","92","4","","","74","35","65","119","9","91","","","","1","","","113","23","77","","","","207","10","90","25","68","32","1","","","153","7","93"
"702:ALL","Monroe County","229","16","84","70","34","66","","","","162","8","92","4","","","74","35","65","119","9","91","","","","1","","","113","23","77","","","","207","10","90","25","68","32","1","","","153","7","93"
"703:201","Montgomery Co. High","60","25","75","27","33","67","","","","31","19","81","1","","","19","42","58","35","11","89","","","","","","","23","48","52","","","","53","19","81","5","","","1","","","37","19","81"
"703:ALL","Montgomery County","60","25","75","27","33","67","","","","31","19","81","1","","","19","42","58","35","11","89","","","","","","","23","48","52","","","","53","19","81","5","","","1","","","37","19","81"
"704:1050","Morgan County High School","180","8","92","38","13","87","","","","133","5","95","2","","","48","13","88","90","3","97","","","","","","","81","11","89","","","","156","3","97","15","47","53","","","","121","5","95"
"704:ALL","Morgan County","180","8","92","38","13","87","","","","133","5","95","2","","","48","13","88","90","3","97","","","","","","","81","11","89","","","","156","3","97","15","47","53","","","","121","5","95"
"705:190","Murray County High School","296","14","86","104","24","76","","","","189","8","92","4","","","","","","159","11","89","23","43","57","2","","","134","18","82","1","","","276","11","89","17","71","29","","","","265","12","88"
"705:ALL","Murray County","296","14","86","104","24","76","","","","189","8","92","4","","","","","","159","11","89","23","43","57","2","","","134","18","82","1","","","276","11","89","17","71","29","","","","265","12","88"
"706:1064","Kendrick High School","134","17","83","78","22","78","","","","49","10","90","2","","","120","17","83","69","14","86","1","","","","","","58","21","79","","","","114","11","89","13","69","31","1","","","3","",""
"706:203","Northside High School","234","5","95","29","14","86","","","","195","3","97","7","","","33","12","88","89","7","93","10","","","2","","","135","3","97","","","","206","2","98","18","28","72","3","","","171","2","98"
"706:2062","Hardaway High School","320","11","89","112","17","83","","","","205","7","93","4","","","133","14","86","159","6","94","9","","","1","","","158","15","85","2","","","287","7","93","30","43","57","4","","","165","5","95"
"706:278","Shaw High School","144","6","94","42","12","88","","","","101","3","97","","","","76","9","91","76","7","93","7","","","1","","","67","4","96","1","","","133","3","97","10","","","6","","","53","2","98"
"706:3054","Columbus High School","282","0","100","38","0","100","","","","244","0","100","12","0","100","53","0","100","175","0","100","9","","","1","","","107","0","100","","","","282","0","100","","","","5","","","203","0","100"
"706:378","Spencer High School","181","21","79","101","16","84","1","","","73","23","77","2","","","126","20","80","91","16","84","12","25","75","4","","","83","22","78","","","","156","13","87","18","72","28","1","","","33","12","88"
"706:5052","Carver High School","224","22","78","142","22","78","","","","76","17","83","2","","","201","20","80","127","16","84","8","","","","","","91","26","74","1","","","199","14","86","19","89","11","1","","","5","",""
"706:5062","Jordan Vocational High School","147","20","80","94","23","77","","","","51","12","88","","","","86","22","78","70","11","89","6","","","3","","","75","27","73","","","","128","16","84","17","41","59","1","","","52","12","88"
"706:ALL","Muscogee County","1666","12","88","636","18","82","1","","","994","6","94","29","21","79","828","16","84","856","9","91","62","18","82","12","75","25","774","14","86","4","","","1505","7","93","125","54","46","22","5","95","685","4","96"
"707:173","Newton  High School","317","6","94","90","13","87","","","","234","4","96","3","","","112","16","84","186","5","95","8","","","2","","","138","9","91","3","","","303","5","95","21","38","62","","","","198","2","98"
"707:295","Eastside High School","223","8","92","50","16","84","","","","167","4","96","1","","","49","16","84","113","5","95","","","","","","","104","8","92","","","","204","7","93","13","0","100","","","","167","4","96"
"707:ALL","Newton County","540","7","93","140","14","86","","","","401","4","96","4","","","161","16","84","299","5","95","8","","","2","","","242","9","91","3","","","507","6","94","34","24","76","","","","365","2","98"
"708:293","Oconee County High School","377","5","95","36","25","75","1","","","340","3","97","6","","","15","27","73","175","3","97","10","","","","","","201","7","93","","","","348","3","97","28","39","61","2","","","343","4","96"
"708:ALL","Oconee County","377","5","95","36","25","75","1","","","340","3","97","6","","","15","27","73","175","3","97","10","","","","","","201","7","93","","","","348","3","97","28","39","61","2","","","343","4","96"
"709:2050","Oglethorpe County High School","136","16","84","44","30","70","","","","91","9","91","","","","31","35","65","72","14","86","2","","","","","","63","17","83","","","","120","9","91","15","67","33","1","","","101","10","90"
"709:ALL","Oglethorpe County","136","16","84","44","30","70","","","","91","9","91","","","","31","35","65","72","14","86","2","","","","","","63","17","83","","","","120","9","91","15","67","33","1","","","101","10","90"
"710:101","Hiram High School","325","9","91","51","8","92","","","","275","9","91","2","","","58","16","84","160","6","94","3","","","","","","166","11","89","","","","303","6","94","23","39","61","5","","","258","7","93"
"710:2552","Paulding County High School","279","6","94","58","10","90","","","","224","6","94","3","","","34","3","97","143","5","95","6","","","1","","","139","9","91","","","","261","4","96","21","38","62","1","","","238","7","93"
"710:292","East Paulding High School","305","4","96","31","10","90","","","","272","4","96","1","","","15","0","100","172","2","98","7","","","","","","131","8","92","","","","268","2","98","35","23","77","","","","280","5","95"
"710:ALL","Paulding County","909","7","93","140","9","91","","","","771","6","94","6","","","107","9","91","475","4","96","16","6","94","1","","","436","9","91","","","","832","4","96","79","32","68","6","","","776","6","94"
"711:2052","Peach County High School","161","17","83","67","30","70","10","","","92","8","92","2","","","62","24","76","91","12","88","15","40","60","5","","","68","24","76","","","","146","13","87","13","62","38","","","","80","6","94"
"711:ALL","Peach County","161","17","83","67","30","70","10","","","92","8","92","2","","","62","24","76","91","12","88","15","40","60","5","","","68","24","76","","","","146","13","87","13","62","38","","","","80","6","94"
"712:198","Pickens County High School","262","11","89","80","16","84","","","","183","8","92","","","","5","","","130","6","94","3","","","1","","","133","15","85","","","","233","6","94","30","47","53","2","","","253","9","91"
"712:ALL","Pickens County","262","11","89","80","16","84","","","","183","8","92","","","","5","","","130","6","94","3","","","1","","","133","15","85","","","","233","6","94","30","47","53","2","","","253","9","91"
"713:182","Pierce County High School","185","18","82","83","25","75","1","","","100","11","89","","","","33","21","79","87","13","87","1","","","","","","96","22","78","","","","166","12","88","17","71","29","1","","","148","17","83"
"713:ALL","Pierce County","185","18","82","83","25","75","1","","","100","11","89","","","","33","21","79","87","13","87","1","","","","","","96","22","78","","","","166","12","88","17","71","29","1","","","148","17","83"
"714:194","Pike County High School","153","8","92","27","26","74","","","","126","5","95","1","","","26","15","85","71","7","93","","","","","","","82","10","90","","","","138","3","97","15","60","40","","","","126","7","93"
"714:ALL","Pike County","153","8","92","27","26","74","","","","126","5","95","1","","","26","15","85","71","7","93","","","","","","","82","10","90","","","","138","3","97","15","60","40","","","","126","7","93"
"715:102","Rockmart High School","144","26","74","31","68","32","2","","","113","14","86","","","","34","56","44","70","23","77","2","","","","","","74","28","72","","","","133","21","79","11","82","18","","","","108","16","84"
"715:5050","Cedartown High School","216","23","77","60","47","53","9","","","159","14","86","","","","49","35","65","99","20","80","19","47","53","4","","","120","25","75","","","","189","15","85","30","70","30","1","","","150","15","85"
"715:ALL","Polk School District","360","24","76","91","54","46","11","55","45","272","14","86","","","","83","43","57","169","21","79","21","48","52","4","","","194","26","74","","","","322","18","82","41","73","27","1","","","258","16","84"
"716:2050","Hawkinsville High School","103","17","83","46","28","72","","","","59","10","90","1","","","50","26","74","58","10","90","","","","","","","47","28","72","","","","94","15","85","11","45","55","","","","54","11","89"
