NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
1300840,GA-622,Carroll County School District,Carroll County,164 Independence Dr.,Carrollton,GEORGIA,30116,    ,(770)832-3568,15981.00,1023.90,24.00,41,41-Rural: Fringe,15.61,1-Regular local school district that is NOT a component of a supervisory union
1300870,GA-766,Carrollton City School District,Carroll County,106 Trojan Drive,Carrollton,GEORGIA,30117,    ,(770)832-9633,5612.00,323.30,4.00,31,31-Town: Fringe,17.36,1-Regular local school district that is NOT a component of a supervisory union
1300900,GA-767,Cartersville City School District,Bartow County,15 Nelson Street,Cartersville,GEORGIA,30120,    ,(770)382-5880,4497.00,294.80,4.00,23,23-Suburb: Small,15.25,1-Regular local school district that is NOT a component of a supervisory union
1300930,GA-623,Catoosa County School District,Catoosa County,307 Cleveland Street,Ringgold,GEORGIA,30736,    ,(706)965-2297,10426.00,824.10,16.00,21,21-Suburb: Large,12.65,1-Regular local school district that is NOT a component of a supervisory union
1300015,GA-868,Central Savannah River RESA,McDuffie County,Highway 78,Dearing,GEORGIA,30808,    ,(706)556-6225,null,0.00,0.00,41,41-Rural: Fringe,-1.00,4-Regional Education Service Agency (RESA)
1300990,GA-624,Charlton County School District,Charlton County,37 Touchdown Lane,Folkston,GEORGIA,31537,    ,(912)496-2596,1686.00,119.90,4.00,41,41-Rural: Fringe,14.06,1-Regular local school district that is NOT a component of a supervisory union
1301020,GA-625,Chatham County School District,Chatham County,208 Bull St,Savannah,GEORGIA,31401,    ,(912)201-5585,36326.00,2675.00,58.00,12,12-City: Mid-size,13.58,1-Regular local school district that is NOT a component of a supervisory union
1301050,GA-626,Chattahoochee County School District,Chattahoochee County,326 Broad Street,Cusseta,GEORGIA,31805,    ,(706)989-3774,970.00,62.30,3.00,42,42-Rural: Distant,15.57,1-Regular local school district that is NOT a component of a supervisory union
1300016,GA-872,Chattahoochee-Flint RESA,Schley County,203 East College Street,Ellaville,GEORGIA,31806,    ,(229)937-5341,null,3.50,0.00,42,42-Rural: Distant,-1.00,4-Regional Education Service Agency (RESA)
1301080,GA-627,Chattooga County School District,Chattooga County,33 Middle School Road,Summerville,GEORGIA,30747,    ,(706)857-3447,2575.00,183.70,5.00,41,41-Rural: Fringe,14.02,1-Regular local school district that is NOT a component of a supervisory union
1301110,GA-628,Cherokee County School District,Cherokee County,110 Academy Street,Canton,GEORGIA,30114,    ,(770)479-1871,41891.00,2974.30,37.00,21,21-Suburb: Large,14.08,1-Regular local school district that is NOT a component of a supervisory union
1301140,GA-769,Chickamauga City School District,Walker County,402 Cove Road,Chickamauga,GEORGIA,30707,    ,(706)382-3100,1277.00,82.40,3.00,21,21-Suburb: Large,15.50,1-Regular local school district that is NOT a component of a supervisory union
1301170,GA-629,Clarke County School District,Clarke County,595 Prince Ave,Athens,GEORGIA,30601,    ,(706)546-7721,12340.00,1220.70,21.00,12,12-City: Mid-size,10.11,1-Regular local school district that is NOT a component of a supervisory union
1301200,GA-630,Clay County School District,Clay County,111 Commerce St.,Fort Gaines,GEORGIA,31751,    ,(229)768-2232,200.00,21.50,2.00,43,43-Rural: Remote,9.30,1-Regular local school district that is NOT a component of a supervisory union
1301230,GA-631,Clayton County School District,Clayton County,1058 Fifth Avenue,Jonesboro,GEORGIA,30236,    ,(770)473-2700,52186.00,3382.40,67.00,21,21-Suburb: Large,15.43,1-Regular local school district that is NOT a component of a supervisory union
1301260,GA-632,Clinch County School District,Clinch County,46 S. College Street,Homerville,GEORGIA,31634,    ,(912)487-5321,1251.00,87.50,3.00,41,41-Rural: Fringe,14.30,1-Regular local school district that is NOT a component of a supervisory union
1300020,GA-886,Coastal Plains RESA,Cook County,414 North Robinson,Lenox,GEORGIA,31637,    ,(229)546-4094,null,15.50,0.00,42,42-Rural: Distant,-1.00,4-Regional Education Service Agency (RESA)
1301290,GA-633,Cobb County School District,Cobb County,514 Glover Street,Marietta,GEORGIA,30061,    ,(770)426-3300,106703.00,7408.10,110.00,21,21-Suburb: Large,14.40,1-Regular local school district that is NOT a component of a supervisory union
1301350,GA-634,Coffee County School District,Coffee County,1311 S. Peterson Ave.,Douglas,GEORGIA,31533,    ,(912)384-2086,7538.00,518.90,12.00,41,41-Rural: Fringe,14.53,1-Regular local school district that is NOT a component of a supervisory union
1301380,GA-635,Colquitt County School District,Colquitt County,710 Lane Street,Moultrie,GEORGIA,31768,    ,(229)890-6200,8830.00,682.50,13.00,41,41-Rural: Fringe,12.94,1-Regular local school district that is NOT a component of a supervisory union
1301410,GA-636,Columbia County School District,Columbia County,4781 Hereford Farm Road,Evans,GEORGIA,30809,    ,(706)541-0650,29025.00,1841.30,30.00,21,21-Suburb: Large,15.76,1-Regular local school district that is NOT a component of a supervisory union
1301440,GA-771,Commerce City School District,Jackson County,270 Lakeview Drive,Commerce,GEORGIA,30529,    ,(706)335-5500,1785.00,128.50,4.00,32,32-Town: Distant,13.89,1-Regular local school district that is NOT a component of a supervisory union
1301470,GA-637,Cook County School District,Cook County,1109 N PARRISH AVE,ADEL,GEORGIA,31620,    ,(229)896-2294,3096.00,240.50,4.00,41,41-Rural: Fringe,12.87,1-Regular local school district that is NOT a component of a supervisory union
1301500,GA-638,Coweta County School District,Coweta County,237 Jackson Street,Newnan,GEORGIA,30264,    ,(770)254-2801,23200.00,1577.30,29.00,21,21-Suburb: Large,14.71,1-Regular local school district that is NOT a component of a supervisory union
1301530,GA-639,Crawford County School District,Crawford County,190 Crusselle Street,Roberta,GEORGIA,31078,    ,(478)836-3131,1562.00,120.40,4.00,42,42-Rural: Distant,12.97,1-Regular local school district that is NOT a component of a supervisory union
1301560,GA-640,Crisp County School District,Crisp County,201 7th Street South,Cordele,GEORGIA,31015,    ,(229)276-3400,3575.00,255.40,5.00,41,41-Rural: Fringe,14.00,1-Regular local school district that is NOT a component of a supervisory union
1301590,GA-641,Dade County School District,Dade County,52 Tradition Lane,Trenton,GEORGIA,30752,    ,(706)657-4361,2063.00,141.40,4.00,31,31-Town: Fringe,14.59,1-Regular local school district that is NOT a component of a supervisory union
1301620,GA-772,Dalton City School District,Whitfield County,300 W. Waugh Street,Dalton,GEORGIA,30720,    ,(706)278-8766,7675.00,615.30,10.00,13,13-City: Small,12.47,1-Regular local school district that is NOT a component of a supervisory union
1301650,GA-642,Dawson County School District,Dawson County,517 Allen Street,Dawsonville,GEORGIA,30534,    ,(706)265-3246,3906.00,259.20,7.00,41,41-Rural: Fringe,15.07,1-Regular local school district that is NOT a component of a supervisory union
1301740,GA-644,DeKalb County School District,DeKalb County,1701 Mountain Industrial Blvd,Stone Mountain,GEORGIA,30083,    ,(678)676-1200,92368.00,6250.30,131.00,21,21-Suburb: Large,14.78,1-Regular local school district that is NOT a component of a supervisory union
1301680,GA-773,Decatur City School District,DeKalb County,125 Electric Avenue,Decatur,GEORGIA,30030,    ,(404)370-4400,5655.00,448.60,9.00,21,21-Suburb: Large,12.61,1-Regular local school district that is NOT a component of a supervisory union
1301710,GA-643,Decatur County School District,Decatur County,100 South West Street,Bainbridge,GEORGIA,39817,    ,(229)248-2200,4310.00,286.30,6.00,32,32-Town: Distant,15.05,1-Regular local school district that is NOT a component of a supervisory union
1300025,GA-890,Department of Corrections,Fulton County,Suite 852. 205 Jessie Hill Jr.,Atlanta,GEORGIA,30334,    ,(404)656-6020,84.00,0.00,1.00,32,32-Town: Distant,null,5-State agency providing elementary and/or secondary level instruction
1300027,GA-892,Department of Human Resources,Fulton County,2 Peachtree Street. Suite 23,Atlanta,GEORGIA,30303,    ,(404)463-6867,null,null,1.00,11,11-City: Large,-1.00,5-State agency providing elementary and/or secondary level instruction
1300026,GA-891,Department of Juvenile Justice,DeKalb County,3408 Covington Highway,Decatur,GEORGIA,30032,    ,(404)508-6500,372.00,34.00,25.00,41,41-Rural: Fringe,10.94,5-State agency providing elementary and/or secondary level instruction
1300028,GA-896,Department of Labor,Fulton County,148 Andrew Young International,Atlanta,GEORGIA,30303,    ,(404)232-3540,null,null,0.00,11,11-City: Large,-2.00,5-State agency providing elementary and/or secondary level instruction
1301770,GA-645,Dodge County School District,Dodge County,720 College Street,Eastman,GEORGIA,31023,    ,(478)374-3783,2785.00,212.00,5.00,32,32-Town: Distant,13.14,1-Regular local school district that is NOT a component of a supervisory union
1301800,GA-646,Dooly County School District,Dooly County,202 Cotton Street,Vienna,GEORGIA,31092,    ,(229)268-4761,1110.00,80.20,4.00,42,42-Rural: Distant,13.84,1-Regular local school district that is NOT a component of a supervisory union
1301830,GA-647,Dougherty School District,Dougherty County,200 Pine Avenue,Albany,GEORGIA,31701,    ,(229)431-1285,13043.00,915.20,22.00,13,13-City: Small,14.25,1-Regular local school district that is NOT a component of a supervisory union
1301860,GA-648,Douglas County School District,Douglas County,11490 Veterans Memorial Hwy,Douglasville,GEORGIA,30134,    ,(770)920-4000,25802.00,1682.80,35.00,21,21-Suburb: Large,15.33,1-Regular local school district that is NOT a component of a supervisory union
1301870,GA-774,Dublin City School District,Laurens County,207 Shamrock Dr.,Dublin,GEORGIA,31021,    ,(478)272-3440,2288.00,178.50,5.00,33,33-Town: Remote,12.82,1-Regular local school district that is NOT a component of a supervisory union
1301920,GA-649,Early County School District,Early County,11927 Columbia Street,Blakely,GEORGIA,39823,    ,(229)723-4337,1668.00,167.80,3.00,32,32-Town: Distant,9.94,1-Regular local school district that is NOT a component of a supervisory union
1301950,GA-650,Echols County School District,Echols County,216 Hwy 129 North,Statenville,GEORGIA,31648,    ,(912)559-5734,891.00,60.30,2.00,42,42-Rural: Distant,14.78,1-Regular local school district that is NOT a component of a supervisory union
1301980,GA-651,Effingham County School District,Effingham County,405 North Ash Street,Springfield,GEORGIA,31329,    ,(912)754-6491,14047.00,964.70,13.00,41,41-Rural: Fringe,14.56,1-Regular local school district that is NOT a component of a supervisory union
1302010,GA-652,Elbert County School District,Elbert County,50 Laurel Drive,Elberton,GEORGIA,30635,    ,(706)213-4000,3066.00,216.40,5.00,41,41-Rural: Fringe,14.17,1-Regular local school district that is NOT a component of a supervisory union
1302040,GA-653,Emanuel County School District,Emanuel County,201 North Main Street,Swainsboro,GEORGIA,30401,    ,(478)237-6674,4059.00,316.60,6.00,33,33-Town: Remote,12.82,1-Regular local school district that is NOT a component of a supervisory union
1302070,GA-654,Evans County School District,Evans County,613 West Main Street,Claxton,GEORGIA,30417,    ,(912)739-3544,1818.00,135.60,4.00,41,41-Rural: Fringe,13.41,1-Regular local school district that is NOT a component of a supervisory union
1302100,GA-655,Fannin County School District,Fannin County,6145 Old Highway 76,Blue Ridge,GEORGIA,30513,    ,(706)632-3771,2799.00,206.70,5.00,42,42-Rural: Distant,13.54,1-Regular local school district that is NOT a component of a supervisory union
1302130,GA-656,Fayette County School District,Fayette County,210 Stonewall Avenue West,Fayetteville,GEORGIA,30214,    ,(770)460-3535,20070.00,1466.20,24.00,21,21-Suburb: Large,13.69,1-Regular local school district that is NOT a component of a supervisory union
1300018,GA-880,First District RESA,Bulloch County,201 West Lee Street,Brooklet,GEORGIA,30415,    ,(912)842-5000,null,14.10,0.00,42,42-Rural: Distant,-1.00,4-Regional Education Service Agency (RESA)
1302190,GA-657,Floyd County School District,Floyd County,600 Riverside Parkway NE,Rome,GEORGIA,30161,    ,(706)234-1031,8925.00,630.50,15.00,41,41-Rural: Fringe,14.16,1-Regular local school district that is NOT a component of a supervisory union
1302220,GA-658,Forsyth County School District,Forsyth County,1120 Dahlonega Highway,Cumming,GEORGIA,30040,    ,(770)887-2461,54077.00,3280.80,42.00,21,21-Suburb: Large,16.48,1-Regular local school district that is NOT a component of a supervisory union
1302250,GA-659,Franklin County School District,Franklin County,280 Busha Road,Carnesville,GEORGIA,30521,    ,(706)384-4554,3619.00,253.00,5.00,42,42-Rural: Distant,14.30,1-Regular local school district that is NOT a component of a supervisory union
1302280,GA-660,Fulton County School District,Fulton County,6201 Powers Ferry Road,Atlanta,GEORGIA,30339,    ,(404)763-6890,89935.00,6050.10,108.00,21,21-Suburb: Large,14.87,1-Regular local school district that is NOT a component of a supervisory union
1302310,GA-776,Gainesville City School District,Hall County,508 Oak Street. NW,Gainesville,GEORGIA,30501,    ,(770)536-5275,7974.00,509.20,9.00,13,13-City: Small,15.66,1-Regular local school district that is NOT a component of a supervisory union
1302340,GA-661,Gilmer County School District,Gilmer County,134 Industrial Blvd,Ellijay,GEORGIA,30540,    ,(706)276-5000,4113.00,282.30,5.00,41,41-Rural: Fringe,14.57,1-Regular local school district that is NOT a component of a supervisory union
1302370,GA-662,Glascock County School District,Glascock County,738 Railroad Ave.,Gibson,GEORGIA,30810,    ,(706)598-2291,573.00,44.70,2.00,43,43-Rural: Remote,12.82,1-Regular local school district that is NOT a component of a supervisory union
1302400,GA-663,Glynn County School District,Glynn County,1313 Egmont St,Brunswick,GEORGIA,31520,    ,(912)267-4100,12844.00,949.00,17.00,13,13-City: Small,13.53,1-Regular local school district that is NOT a component of a supervisory union
1302430,GA-664,Gordon County School District,Gordon County,205 Warrior Path,Calhoun,GEORGIA,30701,    ,(706)629-7366,6421.00,447.40,10.00,41,41-Rural: Fringe,14.35,1-Regular local school district that is NOT a component of a supervisory union
1302460,GA-665,Grady County School District,Grady County,122 Noth Broad Street,Cairo,GEORGIA,39828,    ,(229)377-3701,4405.00,326.20,7.00,32,32-Town: Distant,13.50,1-Regular local school district that is NOT a component of a supervisory union
1302490,GA-666,Greene County School District,Greene County,101 East Third Street,Greensboro,GEORGIA,30642,    ,(706)453-7688,2589.00,242.90,5.00,42,42-Rural: Distant,10.66,1-Regular local school district that is NOT a component of a supervisory union
1300012,GA-862,Griffin RESA,Spalding County,119 West Vineyard Road,Griffin,GEORGIA,30224,    ,(770)229-3247,null,1.00,0.00,21,21-Suburb: Large,-1.00,4-Regional Education Service Agency (RESA)
1302550,GA-667,Gwinnett County School District,Gwinnett County,52 Gwinnett Dr,Lawrenceville,GEORGIA,30045,    ,(678)301-6000,181814.00,12254.50,140.00,21,21-Suburb: Large,14.84,1-Regular local school district that is NOT a component of a supervisory union
1302580,GA-668,Habersham County School District,Habersham County,132 Stanford Mill Rd,Clarkesville,GEORGIA,30523,    ,(706)754-2118,7204.00,540.80,14.00,41,41-Rural: Fringe,13.32,1-Regular local school district that is NOT a component of a supervisory union
1302610,GA-669,Hall County School District,Hall County,711 Green St. Suite 100,Gainesville,GEORGIA,30505,    ,(770)534-1080,27328.00,1890.90,37.00,41,41-Rural: Fringe,14.45,1-Regular local school district that is NOT a component of a supervisory union
1302640,GA-670,Hancock County School District,Hancock County,12480 Augusta Highway,Sparta,GEORGIA,31087,    ,(706)444-5775,703.00,83.50,3.00,41,41-Rural: Fringe,8.42,1-Regular local school district that is NOT a component of a supervisory union
1302670,GA-671,Haralson County School District,Haralson County,299 Robertson Ave,Tallapoosa,GEORGIA,30176,    ,(770)646-3882,3429.00,257.00,7.00,42,42-Rural: Distant,13.34,1-Regular local school district that is NOT a component of a supervisory union
1302700,GA-672,Harris County School District,Harris County,132 Barnes Mill Rd,Hamilton,GEORGIA,31811,    ,(706)628-4206,5645.00,366.20,7.00,42,42-Rural: Distant,15.42,1-Regular local school district that is NOT a component of a supervisory union
1302730,GA-673,Hart County School District,Hart County,284 Campbell Drive,Hartwell,GEORGIA,30643,    ,(706)376-5141,3656.00,240.90,5.00,32,32-Town: Distant,15.18,1-Regular local school district that is NOT a component of a supervisory union
1302790,GA-674,Heard County School District,Heard County,131 E Court Sq.,Franklin,GEORGIA,30217,    ,(706)675-3320,2195.00,148.80,6.00,42,42-Rural: Distant,14.75,1-Regular local school district that is NOT a component of a supervisory union
1300017,GA-876,Heart of Georgia RESA,Dodge County,1141 Cochran Hwy,Eastman,GEORGIA,31023,    ,(478)374-2240,null,7.30,0.00,41,41-Rural: Fringe,-1.00,4-Regional Education Service Agency (RESA)
1302820,GA-675,Henry County School District,Henry County,396 Tomlinson Street,McDonough,GEORGIA,30253,    ,(770)957-6601,43417.00,2625.50,50.00,21,21-Suburb: Large,16.54,1-Regular local school district that is NOT a component of a supervisory union
1302880,GA-676,Houston County School District,Houston County,1100 Main Street,Perry,GEORGIA,31069,    ,(478)988-6200,30631.00,2013.60,37.00,13,13-City: Small,15.21,1-Regular local school district that is NOT a component of a supervisory union
1302910,GA-677,Irwin County School District,Irwin County,210 Apple St.,Ocilla,GEORGIA,31774,    ,(229)468-7485,1622.00,123.70,3.00,41,41-Rural: Fringe,13.11,1-Regular local school district that is NOT a component of a supervisory union
1302940,GA-678,Jackson County School District,Jackson County,1660 Winder Highway,Jefferson,GEORGIA,30549,    ,(706)367-5151,9918.00,721.80,10.00,41,41-Rural: Fringe,13.74,1-Regular local school district that is NOT a component of a supervisory union
1302970,GA-679,Jasper County School District,Jasper County,1411 College Street,Monticello,GEORGIA,31064,    ,(706)468-6350,2573.00,169.90,4.00,41,41-Rural: Fringe,15.14,1-Regular local school district that is NOT a component of a supervisory union
1303000,GA-680,Jeff Davis County School District,Jeff Davis County,44 Charles Rogers Blvd,Hazlehurst,GEORGIA,31539,    ,(912)375-6700,3075.00,209.50,4.00,33,33-Town: Remote,14.68,1-Regular local school district that is NOT a component of a supervisory union
1303030,GA-779,Jefferson City School District,Jackson County,575 Washington St.,Jefferson,GEORGIA,30549,    ,(706)367-2880,4166.00,268.60,4.00,31,31-Town: Fringe,15.51,1-Regular local school district that is NOT a component of a supervisory union
1303060,GA-681,Jefferson County School District,Jefferson County,1001 Peachtree Street,Louisville,GEORGIA,30434,    ,(478)625-7626,2059.00,175.20,5.00,42,42-Rural: Distant,11.75,1-Regular local school district that is NOT a component of a supervisory union
1303090,GA-682,Jenkins County School District,Jenkins County,527 Barney Ave,Millen,GEORGIA,30442,    ,(478)982-6000,1146.00,95.70,3.00,32,32-Town: Distant,11.97,1-Regular local school district that is NOT a component of a supervisory union
1303120,GA-683,Johnson County School District,Johnson County,325 Lee Street,Wrightsville,GEORGIA,31096,    ,(478)864-3302,1009.00,78.50,3.00,41,41-Rural: Fringe,12.85,1-Regular local school district that is NOT a component of a supervisory union
1303150,GA-684,Jones County School District,Jones County,125 Stewart Avenue,Gray,GEORGIA,31032,    ,(478)986-6580,5157.00,364.70,7.00,41,41-Rural: Fringe,14.14,1-Regular local school district that is NOT a component of a supervisory union
1303210,GA-685,Lamar County School District,Lamar County,#3 Trojan Way,Barnesville,GEORGIA,30204,    ,(770)358-5891,2820.00,174.50,4.00,32,32-Town: Distant,16.16,1-Regular local school district that is NOT a component of a supervisory union
1303240,GA-686,Lanier County School District,Lanier County,247 Hwy 221 South,Lakeland,GEORGIA,31635,    ,(912)482-3966,1722.00,120.10,4.00,41,41-Rural: Fringe,14.34,1-Regular local school district that is NOT a component of a supervisory union
1301890,GA-687,Laurens County School District,Laurens County,467 Firetower Road,Dublin,GEORGIA,31021,    ,(478)272-4767,6424.00,436.50,8.00,41,41-Rural: Fringe,14.72,1-Regular local school district that is NOT a component of a supervisory union
1303270,GA-688,Lee County School District,Lee County,126 Starksville Ave.N,Leesburg,GEORGIA,31763,    ,(229)903-2100,6333.00,420.20,8.00,31,31-Town: Fringe,15.07,1-Regular local school district that is NOT a component of a supervisory union
1303300,GA-689,Liberty County School District,Liberty County,200 Bradwell Street,Hinesville,GEORGIA,31313,    ,(912)876-2161,10610.00,639.80,12.00,13,13-City: Small,16.58,1-Regular local school district that is NOT a component of a supervisory union
1303330,GA-690,Lincoln County School District,Lincoln County,423 Metasville Road,Lincolnton,GEORGIA,30817,    ,(706)359-3742,1231.00,86.10,3.00,42,42-Rural: Distant,14.30,1-Regular local school district that is NOT a component of a supervisory union
1303360,GA-691,Long County School District,Long County,468 S. McDonald Street,Ludowici,GEORGIA,31316,    ,(912)545-2367,4343.00,246.00,4.00,42,42-Rural: Distant,17.65,1-Regular local school district that is NOT a component of a supervisory union
1303390,GA-692,Lowndes County School District,Lowndes County,1529 Norman Drive,Valdosta,GEORGIA,31601,    ,(229)245-2250,10728.00,748.60,11.00,13,13-City: Small,14.33,1-Regular local school district that is NOT a component of a supervisory union
1303420,GA-693,Lumpkin County School District,Lumpkin County,56 Indian Drive,Dahlonega,GEORGIA,30533,    ,(706)864-3611,3749.00,258.20,5.00,41,41-Rural: Fringe,14.52,1-Regular local school district that is NOT a component of a supervisory union
1303450,GA-694,Macon County School District,Macon County,Highway 49,Oglethorpe,GEORGIA,31068,    ,(478)472-8188,1114.00,72.90,3.00,32,32-Town: Distant,15.28,1-Regular local school district that is NOT a component of a supervisory union
1303480,GA-695,Madison County School District,Madison County,800 Madison Street,Danielsville,GEORGIA,30633,    ,(706)795-2191,5077.00,368.20,7.00,42,42-Rural: Distant,13.79,1-Regular local school district that is NOT a component of a supervisory union
1303510,GA-781,Marietta City School District,Cobb County,250 Howard Street,Marietta,GEORGIA,30060,    ,(770)422-3500,8711.00,677.70,13.00,13,13-City: Small,12.85,1-Regular local school district that is NOT a component of a supervisory union
1303540,GA-696,Marion County School District,Marion County,1697 Pineville Road,Buena Vista,GEORGIA,31803,    ,(229)649-2234,1279.00,79.90,2.00,42,42-Rural: Distant,16.01,1-Regular local school district that is NOT a component of a supervisory union
1303570,GA-697,McDuffie County School District,McDuffie County,716 N. Lee St.,Thomson,GEORGIA,30824,    ,(706)986-4000,3272.00,235.10,6.00,41,41-Rural: Fringe,13.92,1-Regular local school district that is NOT a component of a supervisory union
1303600,GA-698,McIntosh County School District,McIntosh County,200 Pine Street,Darien,GEORGIA,31305,    ,(912)437-6645,1333.00,98.30,3.00,31,31-Town: Fringe,13.56,1-Regular local school district that is NOT a component of a supervisory union
1303630,GA-699,Meriwether County School District,Meriwether County,2100 Gaston Street,Greenville,GEORGIA,30222,    ,(706)672-4297,2323.00,179.60,7.00,42,42-Rural: Distant,12.93,1-Regular local school district that is NOT a component of a supervisory union
